type,file,card_lo,card_hi,depth_lo,depth_hi,dist,overlap_or_dx,delta_y
same_depth,GH_map1/0003_Level_3.json,1,4,0,0,0,50,85
same_depth,GH_map1/0003_Level_3.json,2,4,0,0,0,45,85
same_depth,GH_map1/0003_Level_3.json,2,5,0,0,0,50,85
same_depth,GH_map1/0003_Level_3.json,3,4,0,0,0,95,0
same_depth,GH_map1/0003_Level_3.json,4,5,0,0,0,95,0
same_depth,GH_map1/0003_Level_3.json,6,7,0,0,0,95,0
same_depth,GH_map1/0003_Level_3.json,6,9,0,0,0,50,90
same_depth,GH_map1/0003_Level_3.json,7,8,0,0,0,95,0
same_depth,GH_map1/0003_Level_3.json,7,9,0,0,0,45,90
same_depth,GH_map1/0003_Level_3.json,7,10,0,0,0,50,90
same_depth,GH_map1/0003_Level_3.json,8,10,0,0,0,45,90
same_depth,GH_map1/0003_Level_3.json,9,10,0,0,0,95,0
same_depth,GH_map1/0003_Level_3.json,9,11,0,0,0,45,85
same_depth,GH_map1/0003_Level_3.json,10,11,0,0,0,50,85
same_depth,GH_map1/0003_Level_3.json,12,13,0,0,0,45,90
same_depth,GH_map1/0003_Level_3.json,12,14,0,0,0,50,90
same_depth,GH_map1/0003_Level_3.json,13,14,0,0,0,95,0
same_depth,GH_map1/0003_Level_3.json,13,15,0,0,0,50,85
same_depth,GH_map1/0003_Level_3.json,13,16,0,0,0,45,85
same_depth,GH_map1/0003_Level_3.json,14,16,0,0,0,50,85
same_depth,GH_map1/0003_Level_3.json,14,17,0,0,0,45,85
same_depth,GH_map1/0003_Level_3.json,15,16,0,0,0,95,0
same_depth,GH_map1/0003_Level_3.json,16,17,0,0,0,95,0
same_depth,GH_map1/0004_EZ_Streaky.json,0,2,0,0,0,50,50
same_depth,GH_map1/0004_EZ_Streaky.json,1,2,0,0,0,50,95
same_depth,GH_map1/0004_EZ_Streaky.json,3,4,0,0,0,0,145
same_depth,GH_map1/0004_EZ_Streaky.json,3,6,0,0,0,0,60
same_depth,GH_map1/0004_EZ_Streaky.json,4,6,0,0,0,0,85
same_depth,GH_map1/0004_EZ_Streaky.json,5,6,0,0,0,100,60
same_depth,GH_map1/0004_EZ_Streaky.json,7,10,0,0,0,100,60
same_depth,GH_map1/0004_EZ_Streaky.json,8,9,0,0,0,0,145
same_depth,GH_map1/0004_EZ_Streaky.json,8,10,0,0,0,0,60
same_depth,GH_map1/0004_EZ_Streaky.json,9,10,0,0,0,0,85
same_depth,GH_map1/0004_EZ_Streaky.json,11,13,0,0,0,50,95
same_depth,GH_map1/0004_EZ_Streaky.json,12,13,0,0,0,50,50
same_depth,GH_map1/0005_Shorty.json,0,1,0,0,0,60,75
same_depth,GH_map1/0005_Shorty.json,0,3,0,0,0,60,75
same_depth,GH_map1/0005_Shorty.json,1,2,0,0,0,70,50
same_depth,GH_map1/0005_Shorty.json,3,7,0,0,0,70,50
same_depth,GH_map1/0005_Shorty.json,4,9,0,0,0,70,50
same_depth,GH_map1/0005_Shorty.json,5,11,0,0,0,70,50
same_depth,GH_map1/0005_Shorty.json,6,9,0,0,0,70,50
same_depth,GH_map1/0005_Shorty.json,8,11,0,0,0,70,50
same_depth,GH_map1/0005_Shorty.json,10,12,0,0,0,60,75
same_depth,GH_map1/0005_Shorty.json,10,14,0,0,0,60,75
same_depth,GH_map1/0005_Shorty.json,12,13,0,0,0,70,50
same_depth,GH_map1/0005_Shorty.json,14,15,0,0,0,70,50
same_depth,GH_map1/0006_CZ_Spider.json,0,1,0,0,0,0,150
same_depth,GH_map1/0006_CZ_Spider.json,0,4,0,0,0,55,20
same_depth,GH_map1/0006_CZ_Spider.json,1,5,0,0,0,55,20
same_depth,GH_map1/0006_CZ_Spider.json,2,3,0,0,0,0,150
same_depth,GH_map1/0006_CZ_Spider.json,2,6,0,0,0,55,20
same_depth,GH_map1/0006_CZ_Spider.json,3,7,0,0,0,55,20
same_depth,GH_map1/0006_CZ_Spider.json,4,8,0,0,0,55,20
same_depth,GH_map1/0006_CZ_Spider.json,5,9,0,0,0,55,20
same_depth,GH_map1/0006_CZ_Spider.json,6,10,0,0,0,55,20
same_depth,GH_map1/0006_CZ_Spider.json,7,11,0,0,0,55,20
same_depth,GH_map1/0006_CZ_Spider.json,8,12,0,0,0,55,5
same_depth,GH_map1/0006_CZ_Spider.json,9,13,0,0,0,55,5
same_depth,GH_map1/0006_CZ_Spider.json,10,14,0,0,0,55,5
same_depth,GH_map1/0006_CZ_Spider.json,11,15,0,0,0,55,5
same_depth,GH_map1/0006_CZ_Spider.json,16,17,0,0,0,0,25
same_depth,GH_map1/0006_CZ_Spider.json,18,19,0,0,0,0,25
same_depth,GH_map1/0007_AS8_short2_bridge.json,0,8,0,0,0,50,100
same_depth,GH_map1/0007_AS8_short2_bridge.json,1,8,0,0,0,60,100
same_depth,GH_map1/0007_AS8_short2_bridge.json,2,14,0,0,0,60,100
same_depth,GH_map1/0007_AS8_short2_bridge.json,3,14,0,0,0,50,100
same_depth,GH_map1/0007_AS8_short2_bridge.json,4,8,0,0,0,50,80
same_depth,GH_map1/0007_AS8_short2_bridge.json,5,8,0,0,0,60,80
same_depth,GH_map1/0007_AS8_short2_bridge.json,5,9,0,0,0,30,5
same_depth,GH_map1/0007_AS8_short2_bridge.json,6,13,0,0,0,30,5
same_depth,GH_map1/0007_AS8_short2_bridge.json,6,14,0,0,0,60,80
same_depth,GH_map1/0007_AS8_short2_bridge.json,7,14,0,0,0,50,80
same_depth,GH_map1/0007_AS8_short2_bridge.json,8,9,0,0,0,90,75
same_depth,GH_map1/0007_AS8_short2_bridge.json,9,10,0,0,0,105,45
same_depth,GH_map1/0007_AS8_short2_bridge.json,10,11,0,0,0,115,15
same_depth,GH_map1/0007_AS8_short2_bridge.json,10,15,0,0,0,65,105
same_depth,GH_map1/0007_AS8_short2_bridge.json,11,12,0,0,0,115,15
same_depth,GH_map1/0007_AS8_short2_bridge.json,11,15,0,0,0,50,120
same_depth,GH_map1/0007_AS8_short2_bridge.json,11,16,0,0,0,50,120
same_depth,GH_map1/0007_AS8_short2_bridge.json,12,13,0,0,0,105,45
same_depth,GH_map1/0007_AS8_short2_bridge.json,12,16,0,0,0,65,105
same_depth,GH_map1/0007_AS8_short2_bridge.json,13,14,0,0,0,90,75
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,0,1,0,0,0,50,20
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,2,3,0,0,0,0,140
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,2,4,0,0,0,90,140
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,2,6,0,0,0,90,0
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,2,7,0,0,0,45,20
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,2,14,0,0,0,45,70
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,3,4,0,0,0,90,0
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,3,5,0,0,0,45,20
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,3,6,0,0,0,90,140
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,3,14,0,0,0,45,70
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,4,5,0,0,0,45,20
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,4,6,0,0,0,0,140
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,4,14,0,0,0,45,70
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,5,14,0,0,0,0,90
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,6,7,0,0,0,45,20
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,6,14,0,0,0,45,70
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,7,14,0,0,0,0,90
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,8,9,0,0,0,50,10
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,9,10,0,0,0,70,25
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,10,13,0,0,0,70,25
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,11,12,0,0,0,50,20
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,15,16,0,0,0,70,25
same_depth,GH_map1/0008_OR_Mouse_Tut_Final.json,16,17,0,0,0,70,25
same_depth,GH_map1/0009_EK_MSWord.json,0,2,0,0,0,55,95
same_depth,GH_map1/0009_EK_MSWord.json,0,3,0,0,0,55,95
same_depth,GH_map1/0009_EK_MSWord.json,0,22,0,0,0,70,72
same_depth,GH_map1/0009_EK_MSWord.json,0,23,0,0,0,70,72
same_depth,GH_map1/0009_EK_MSWord.json,1,2,0,0,0,55,60
same_depth,GH_map1/0009_EK_MSWord.json,1,3,0,0,0,55,60
same_depth,GH_map1/0009_EK_MSWord.json,1,22,0,0,0,70,83
same_depth,GH_map1/0009_EK_MSWord.json,1,23,0,0,0,70,83
same_depth,GH_map1/0009_EK_MSWord.json,2,22,0,0,0,15,23
same_depth,GH_map1/0009_EK_MSWord.json,3,23,0,0,0,15,23
same_depth,GH_map1/0009_EK_MSWord.json,4,10,0,0,0,40,75
same_depth,GH_map1/0009_EK_MSWord.json,5,12,0,0,0,40,75
same_depth,GH_map1/0009_EK_MSWord.json,6,8,0,0,0,38,85
same_depth,GH_map1/0009_EK_MSWord.json,6,10,0,0,0,58,75
same_depth,GH_map1/0009_EK_MSWord.json,6,11,0,0,0,15,150
same_depth,GH_map1/0009_EK_MSWord.json,7,9,0,0,0,38,85
same_depth,GH_map1/0009_EK_MSWord.json,7,12,0,0,0,58,75
same_depth,GH_map1/0009_EK_MSWord.json,7,13,0,0,0,15,150
same_depth,GH_map1/0009_EK_MSWord.json,8,10,0,0,0,96,10
same_depth,GH_map1/0009_EK_MSWord.json,8,11,0,0,0,53,65
same_depth,GH_map1/0009_EK_MSWord.json,8,14,0,0,0,66,115
same_depth,GH_map1/0009_EK_MSWord.json,9,12,0,0,0,96,10
same_depth,GH_map1/0009_EK_MSWord.json,9,13,0,0,0,53,65
same_depth,GH_map1/0009_EK_MSWord.json,9,15,0,0,0,66,115
same_depth,GH_map1/0009_EK_MSWord.json,10,11,0,0,0,43,75
same_depth,GH_map1/0009_EK_MSWord.json,10,14,0,0,0,30,125
same_depth,GH_map1/0009_EK_MSWord.json,11,14,0,0,0,13,50
same_depth,GH_map1/0009_EK_MSWord.json,12,13,0,0,0,43,75
same_depth,GH_map1/0009_EK_MSWord.json,12,15,0,0,0,30,125
same_depth,GH_map1/0009_EK_MSWord.json,13,15,0,0,0,13,50
same_depth,GH_map1/0009_EK_MSWord.json,16,18,0,0,0,10,5
same_depth,GH_map1/0009_EK_MSWord.json,17,19,0,0,0,10,5
same_depth,GH_map1/0009_EK_MSWord.json,20,21,0,0,0,0,15
same_depth,GH_map1/0010_CB_Newstuff.json,0,2,0,0,0,0,25
same_depth,GH_map1/0010_CB_Newstuff.json,0,4,0,0,0,0,90
same_depth,GH_map1/0010_CB_Newstuff.json,1,3,0,0,0,0,25
same_depth,GH_map1/0010_CB_Newstuff.json,1,5,0,0,0,0,90
same_depth,GH_map1/0010_CB_Newstuff.json,2,4,0,0,0,0,65
same_depth,GH_map1/0010_CB_Newstuff.json,2,7,0,0,0,50,130
same_depth,GH_map1/0010_CB_Newstuff.json,3,5,0,0,0,0,65
same_depth,GH_map1/0010_CB_Newstuff.json,3,6,0,0,0,50,130
same_depth,GH_map1/0010_CB_Newstuff.json,4,7,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,5,6,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,6,8,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,7,8,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,9,11,0,0,0,0,25
same_depth,GH_map1/0010_CB_Newstuff.json,9,13,0,0,0,0,90
same_depth,GH_map1/0010_CB_Newstuff.json,10,12,0,0,0,0,25
same_depth,GH_map1/0010_CB_Newstuff.json,10,14,0,0,0,0,90
same_depth,GH_map1/0010_CB_Newstuff.json,11,13,0,0,0,0,65
same_depth,GH_map1/0010_CB_Newstuff.json,11,16,0,0,0,50,130
same_depth,GH_map1/0010_CB_Newstuff.json,12,14,0,0,0,0,65
same_depth,GH_map1/0010_CB_Newstuff.json,12,15,0,0,0,50,130
same_depth,GH_map1/0010_CB_Newstuff.json,13,16,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,14,15,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,15,17,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,16,17,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,18,20,0,0,0,0,25
same_depth,GH_map1/0010_CB_Newstuff.json,18,22,0,0,0,0,90
same_depth,GH_map1/0010_CB_Newstuff.json,19,21,0,0,0,0,25
same_depth,GH_map1/0010_CB_Newstuff.json,19,23,0,0,0,0,90
same_depth,GH_map1/0010_CB_Newstuff.json,20,22,0,0,0,0,65
same_depth,GH_map1/0010_CB_Newstuff.json,20,25,0,0,0,50,130
same_depth,GH_map1/0010_CB_Newstuff.json,21,23,0,0,0,0,65
same_depth,GH_map1/0010_CB_Newstuff.json,21,24,0,0,0,50,130
same_depth,GH_map1/0010_CB_Newstuff.json,22,25,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,23,24,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,24,26,0,0,0,50,65
same_depth,GH_map1/0010_CB_Newstuff.json,25,26,0,0,0,50,65
same_depth,GH_map1/0011_CB_ZeroZero.json,0,1,0,0,0,0,65
same_depth,GH_map1/0011_CB_ZeroZero.json,0,2,0,0,0,55,65
same_depth,GH_map1/0011_CB_ZeroZero.json,1,2,0,0,0,55,0
same_depth,GH_map1/0011_CB_ZeroZero.json,2,5,0,0,0,130,0
same_depth,GH_map1/0011_CB_ZeroZero.json,3,4,0,0,0,0,65
same_depth,GH_map1/0011_CB_ZeroZero.json,3,5,0,0,0,55,65
same_depth,GH_map1/0011_CB_ZeroZero.json,4,5,0,0,0,55,0
same_depth,GH_map1/0011_CB_ZeroZero.json,6,7,0,0,0,0,65
same_depth,GH_map1/0011_CB_ZeroZero.json,6,8,0,0,0,55,65
same_depth,GH_map1/0011_CB_ZeroZero.json,7,8,0,0,0,55,0
same_depth,GH_map1/0011_CB_ZeroZero.json,8,11,0,0,0,130,0
same_depth,GH_map1/0011_CB_ZeroZero.json,9,10,0,0,0,0,65
same_depth,GH_map1/0011_CB_ZeroZero.json,9,11,0,0,0,55,65
same_depth,GH_map1/0011_CB_ZeroZero.json,10,11,0,0,0,55,0
same_depth,GH_map1/0011_CB_ZeroZero.json,12,13,0,0,0,0,65
same_depth,GH_map1/0011_CB_ZeroZero.json,12,14,0,0,0,55,65
same_depth,GH_map1/0011_CB_ZeroZero.json,13,14,0,0,0,55,0
same_depth,GH_map1/0011_CB_ZeroZero.json,14,20,0,0,0,130,0
same_depth,GH_map1/0011_CB_ZeroZero.json,15,16,0,0,0,0,65
same_depth,GH_map1/0011_CB_ZeroZero.json,15,17,0,0,0,55,65
same_depth,GH_map1/0011_CB_ZeroZero.json,16,17,0,0,0,55,0
same_depth,GH_map1/0011_CB_ZeroZero.json,17,23,0,0,0,130,0
same_depth,GH_map1/0011_CB_ZeroZero.json,18,19,0,0,0,0,65
same_depth,GH_map1/0011_CB_ZeroZero.json,18,20,0,0,0,55,65
same_depth,GH_map1/0011_CB_ZeroZero.json,19,20,0,0,0,55,0
same_depth,GH_map1/0011_CB_ZeroZero.json,21,22,0,0,0,0,65
same_depth,GH_map1/0011_CB_ZeroZero.json,21,23,0,0,0,55,65
same_depth,GH_map1/0011_CB_ZeroZero.json,22,23,0,0,0,55,0
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,0,12,0,0,0,45,70
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,1,10,0,0,0,45,85
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,1,11,0,0,0,45,85
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,1,13,0,0,0,80,140
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,1,14,0,0,0,80,140
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,2,8,0,0,0,45,70
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,2,9,0,0,0,45,70
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,3,6,0,0,0,45,85
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,3,7,0,0,0,45,85
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,3,15,0,0,0,80,140
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,3,16,0,0,0,80,140
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,4,5,0,0,0,45,70
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,5,6,0,0,0,90,40
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,5,16,0,0,0,55,95
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,6,7,0,0,0,90,0
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,6,16,0,0,0,35,55
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,7,8,0,0,0,90,40
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,7,15,0,0,0,35,55
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,8,9,0,0,0,90,0
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,8,15,0,0,0,55,95
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,9,10,0,0,0,90,40
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,9,14,0,0,0,55,95
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,10,11,0,0,0,90,0
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,10,14,0,0,0,35,55
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,11,12,0,0,0,90,40
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,11,13,0,0,0,35,55
same_depth,GH_map1/0012_CB_CZSpaceship_mod.json,12,13,0,0,0,55,95
same_depth,GH_map1/0013_CB_Pluscard_tut.json,0,3,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,0,4,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,1,4,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,1,5,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,2,7,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,2,8,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,3,8,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,3,9,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,4,9,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,4,10,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,5,10,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,5,11,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,6,11,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,6,12,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,7,13,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,7,14,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,8,14,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,8,15,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,9,15,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,9,16,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,10,16,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,10,17,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,11,17,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,11,18,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,12,18,0,0,0,55,75
same_depth,GH_map1/0013_CB_Pluscard_tut.json,12,19,0,0,0,55,75
same_depth,GH_map1/0014_CB_Plussiii.json,0,1,0,0,0,6,30
same_depth,GH_map1/0014_CB_Plussiii.json,0,2,0,0,0,6,61
same_depth,GH_map1/0014_CB_Plussiii.json,0,3,0,0,0,4,97
same_depth,GH_map1/0014_CB_Plussiii.json,0,4,0,0,0,112,31
same_depth,GH_map1/0014_CB_Plussiii.json,0,5,0,0,0,112,73
same_depth,GH_map1/0014_CB_Plussiii.json,0,6,0,0,0,116,111
same_depth,GH_map1/0014_CB_Plussiii.json,1,2,0,0,0,0,31
same_depth,GH_map1/0014_CB_Plussiii.json,1,3,0,0,0,2,67
same_depth,GH_map1/0014_CB_Plussiii.json,2,3,0,0,0,2,36
same_depth,GH_map1/0014_CB_Plussiii.json,4,5,0,0,0,0,42
same_depth,GH_map1/0014_CB_Plussiii.json,4,6,0,0,0,4,80
same_depth,GH_map1/0014_CB_Plussiii.json,4,7,0,0,0,109,10
same_depth,GH_map1/0014_CB_Plussiii.json,5,6,0,0,0,4,38
same_depth,GH_map1/0014_CB_Plussiii.json,7,8,0,0,0,6,40
same_depth,GH_map1/0014_CB_Plussiii.json,7,9,0,0,0,19,88
same_depth,GH_map1/0014_CB_Plussiii.json,8,9,0,0,0,13,48
same_depth,GH_map1/0014_CB_Plussiii.json,10,11,0,0,0,0,40
same_depth,GH_map1/0014_CB_Plussiii.json,10,12,0,0,0,0,80
same_depth,GH_map1/0014_CB_Plussiii.json,11,12,0,0,0,0,40
same_depth,GH_map1/0014_CB_Plussiii.json,13,14,0,0,0,6,40
same_depth,GH_map1/0014_CB_Plussiii.json,13,15,0,0,0,19,88
same_depth,GH_map1/0014_CB_Plussiii.json,13,16,0,0,0,109,10
same_depth,GH_map1/0014_CB_Plussiii.json,14,15,0,0,0,13,48
same_depth,GH_map1/0014_CB_Plussiii.json,16,17,0,0,0,0,42
same_depth,GH_map1/0014_CB_Plussiii.json,16,18,0,0,0,4,80
same_depth,GH_map1/0014_CB_Plussiii.json,16,19,0,0,0,112,31
same_depth,GH_map1/0014_CB_Plussiii.json,17,18,0,0,0,4,38
same_depth,GH_map1/0014_CB_Plussiii.json,17,19,0,0,0,112,73
same_depth,GH_map1/0014_CB_Plussiii.json,18,19,0,0,0,116,111
same_depth,GH_map1/0014_CB_Plussiii.json,19,20,0,0,0,6,30
same_depth,GH_map1/0014_CB_Plussiii.json,19,21,0,0,0,6,61
same_depth,GH_map1/0014_CB_Plussiii.json,19,22,0,0,0,4,97
same_depth,GH_map1/0014_CB_Plussiii.json,20,21,0,0,0,0,31
same_depth,GH_map1/0014_CB_Plussiii.json,20,22,0,0,0,2,67
same_depth,GH_map1/0014_CB_Plussiii.json,21,22,0,0,0,2,36
same_depth,GH_map1/0015_Wings_2.json,0,1,0,0,0,120,50
same_depth,GH_map1/0015_Wings_2.json,0,15,0,0,0,5,30
same_depth,GH_map1/0015_Wings_2.json,0,23,0,0,0,10,60
same_depth,GH_map1/0015_Wings_2.json,1,14,0,0,0,5,30
same_depth,GH_map1/0015_Wings_2.json,1,15,0,0,0,115,80
same_depth,GH_map1/0015_Wings_2.json,1,22,0,0,0,10,60
same_depth,GH_map1/0015_Wings_2.json,1,23,0,0,0,110,110
same_depth,GH_map1/0015_Wings_2.json,2,13,0,0,0,0,30
same_depth,GH_map1/0015_Wings_2.json,2,21,0,0,0,0,60
same_depth,GH_map1/0015_Wings_2.json,2,22,0,0,0,120,90
same_depth,GH_map1/0015_Wings_2.json,3,12,0,0,0,0,30
same_depth,GH_map1/0015_Wings_2.json,3,20,0,0,0,0,60
same_depth,GH_map1/0015_Wings_2.json,4,11,0,0,0,0,30
same_depth,GH_map1/0015_Wings_2.json,4,19,0,0,0,0,60
same_depth,GH_map1/0015_Wings_2.json,5,10,0,0,0,0,30
same_depth,GH_map1/0015_Wings_2.json,5,17,0,0,0,120,90
same_depth,GH_map1/0015_Wings_2.json,5,18,0,0,0,0,60
same_depth,GH_map1/0015_Wings_2.json,6,7,0,0,0,120,50
same_depth,GH_map1/0015_Wings_2.json,6,8,0,0,0,115,80
same_depth,GH_map1/0015_Wings_2.json,6,9,0,0,0,5,30
same_depth,GH_map1/0015_Wings_2.json,6,16,0,0,0,110,110
same_depth,GH_map1/0015_Wings_2.json,6,17,0,0,0,10,60
same_depth,GH_map1/0015_Wings_2.json,7,8,0,0,0,5,30
same_depth,GH_map1/0015_Wings_2.json,7,16,0,0,0,10,60
same_depth,GH_map1/0015_Wings_2.json,8,9,0,0,0,120,50
same_depth,GH_map1/0015_Wings_2.json,8,16,0,0,0,5,30
same_depth,GH_map1/0015_Wings_2.json,9,16,0,0,0,115,80
same_depth,GH_map1/0015_Wings_2.json,9,17,0,0,0,5,30
same_depth,GH_map1/0015_Wings_2.json,10,17,0,0,0,120,60
same_depth,GH_map1/0015_Wings_2.json,10,18,0,0,0,0,30
same_depth,GH_map1/0015_Wings_2.json,11,19,0,0,0,0,30
same_depth,GH_map1/0015_Wings_2.json,12,20,0,0,0,0,30
same_depth,GH_map1/0015_Wings_2.json,13,21,0,0,0,0,30
same_depth,GH_map1/0015_Wings_2.json,13,22,0,0,0,120,60
same_depth,GH_map1/0015_Wings_2.json,14,15,0,0,0,120,50
