stage_id,tutorial,publish_at,clearCount,deckCount,totalCardCount,mapScore,clear_rate_a,clear_rate_b,clear_rate_c,original_json_file_name
CC_0157,,2026-03-26 09:00:00.000,6,10,18,520,,,,VeryEasy_obj_5725686889629278630_5725686889629278630.json
CC_0155,,2026-03-26 09:00:00.000,10,13,20,580,,,,VeryEasy_obj_4962232865715475479_4962232865715475479.json
CC_0281,,2026-04-15 21:00:00.000,13,20,32,880,,,,Hard_obj_5817092195126959395_5817092195126959395.json
TUT_0014,14,2026-04-02 06:00:00.000,2,8,6,180,100,100,100,
CC_0058,,2026-03-26 09:00:00.000,6,13,19,515,,,,VeryEasy_obj_-1470323015904512967_-1470323015904512967.json
CC_0066,,2026-03-26 09:00:00.000,8,9,20,530,,,,VeryEasy_obj_-5421982700066424561_-5421982700066424561.json
CC_0083,,2026-03-26 09:00:00.000,8,11,20,575,,,,VeryEasy_obj_8246439891182557695_8246439891182557695.json
CC_0140,,2026-03-27 12:00:00.000,11,16,21,605,95,57,24,VeryEasy_obj_-2331670063229611888_-2331670063229611888.json
CC_0275,,2026-04-15 21:00:00.000,8,10,30,895,,,,Hard_obj_3015781939616589612_3015781939616589612.json
CC_0271,,2026-04-15 21:00:00.000,6,10,30,880,,,,Hard_obj_2136597098790465194_2136597098790465194.json
CC_0038,,2026-03-26 18:00:00.000,16,20,30,865,1,12,29,Normal_obj_-980244589156319485_-980244589156319485.json
CC_0040,,2026-03-27 03:00:00.000,5,10,29,765,55,6,3,Normal_obj_-4683521763437329335_-4683521763437329335.json
CC_0062,,2026-03-26 09:00:00.000,4,11,20,565,,,,VeryEasy_obj_-3575373209298258023_-3575373209298258023.json
CC_0098,,2026-03-27 12:00:00.000,5,10,23,630,81,55,38,Easy_obj_-7654885499349072602_-7654885499349072602.json
CC_0260,,2026-04-15 21:00:00.000,9,18,31,880,,,,Hard_obj_-6620684931497034085_-6620684931497034085.json
CC_0128,,2026-03-26 18:00:00.000,5,10,30,855,80,25,12,Normal_obj_-9075794490093729707_-9075794490093729707.json
CC_0266,,2026-04-15 21:00:00.000,5,10,31,880,,,,Hard_obj_-8085993676552886899_-8085993676552886899.json
CC_0082,,2026-03-26 18:00:00.000,10,12,19,510,0,29,42,VeryEasy_obj_7977985121917331868_7977985121917331868.json
CC_0118,,2026-03-26 00:00:00.000,11,17,29,855,,,,Hard_obj_6849466000772299756_6849466000772299756.json
CC_0169,,,4,8,24,645,72,43,17,Easy_obj_-4720816346241619179_-4720816346241619179.json
CC_0149,,2026-03-26 18:00:00.000,6,11,20,585,77,33,34,VeryEasy_obj_1059250483029686343_1059250483029686343.json
TUT_0008,8,2026-04-01 12:00:00.000,4,10,14,365,0,10,9,Tutorial_0008_1328201.json
CC_0011,,2026-03-27 12:00:00.000,4,12,23,525,86,87,70,Easy_obj_-5073861940589237549_-5073861940589237549.json
CC_0251,,2026-04-15 21:00:00.000,8,11,35,990,,,,Hard_obj_-2584308845143270527_-2584308845143270527.json
CC_0250,,2026-04-15 21:00:00.000,6,10,31,910,,,,Hard_obj_-2535467368716262032_-2535467368716262032.json
CC_0184,,2026-03-27 12:00:00.000,6,9,26,730,70,30,29,Easy_obj_6125248256196065824_6125248256196065824.json
CC_0045,,2026-03-26 09:00:00.000,8,12,28,785,,,,Normal_obj_3769052602463786627_3769052602463786627.json
TUT_0007,7,2026-04-01 12:00:00.000,4,10,14,410,16,28,29,Tutorial_0007_1327834.json
CC_0043,,2026-03-27 12:00:00.000,7,11,29,810,81,30,21,Normal_obj_738882395438707847_738882395438707847.json
CC_0243,,2026-04-15 21:00:00.000,6,11,21,620,,,,VeryEasy_obj_8758547653190156292_8758547653190156292.json
CC_0116,,,14,18,32,940,20,2,22,Hard_obj_4318439546011939075_4318439546011939075.json
CC_0103,,2026-03-27 03:00:00.000,8,16,22,590,3,78,60,Easy_obj_421220124618729722_421220124618729722.json
CC_0166,,,6,10,26,750,78,12,11,Easy_obj_-1911471411139201695_-1911471411139201695.json
CC_0162,,2026-03-27 12:00:00.000,7,11,19,535,81,50,44,VeryEasy_obj_8676917453355736745_8676917453355736745.json
CC_0069,,2026-03-27 03:00:00.000,6,10,20,550,80,31,8,VeryEasy_obj_-8696186041147435442_-8696186041147435442.json
CC_0274,,2026-04-15 21:00:00.000,6,10,31,900,,,,Hard_obj_2614617043532549192_2614617043532549192.json
CC_0174,,,5,15,24,680,89,36,70,Easy_obj_-9069668387266083965_-9069668387266083965.json
CC_0144,,2026-03-27 03:00:00.000,6,12,20,545,10,61,30,VeryEasy_obj_-5948220406407893431_-5948220406407893431.json
CC_0028,,2026-03-27 03:00:00.000,6,11,20,575,80,24,25,Easy_obj_5864214069911349506_5864214069911349506.json
CC_0176,,,4,8,29,815,21,25,27,Easy_obj_463766349787096359_463766349787096359.json
CC_0173,,,8,12,20,575,82,32,27,Easy_obj_-9034849251228621764_-9034849251228621764.json
CC_0165,,,10,15,21,605,94,65,80,Easy_obj_-409843854013760090_-409843854013760090.json
CC_0182,,2026-03-27 12:00:00.000,6,10,28,800,76,9,1,Easy_obj_5582524774713652387_5582524774713652387.json
CC_0153,,2026-03-27 03:00:00.000,6,11,20,540,76,66,48,VeryEasy_obj_2226665923992216855_2226665923992216855.json
CC_0181,,2026-03-26 09:00:00.000,5,10,32,885,83,8,5,Easy_obj_4803460625792221679_4803460625792221679.json
CC_0170,,,5,7,24,635,55,18,17,Easy_obj_-7982215790531385497_-7982215790531385497.json
CC_0179,,2026-03-27 21:00:00.000,7,14,23,670,90,28,13,Easy_obj_3809132208886665343_3809132208886665343.json
CC_0012,,2026-03-26 18:00:00.000,8,13,26,745,93,24,13,Easy_obj_-5161379865128801438_-5161379865128801438.json
CC_0167,,,9,14,20,565,0,42,26,Easy_obj_-3217003002116541924_-3217003002116541924.json
CC_0224,,2026-04-15 21:00:00.000,4,10,18,495,,,,VeryEasy_obj_-7661426656534094527_-7661426656534094527.json
CC_0225,,2026-04-15 21:00:00.000,6,10,18,515,,,,VeryEasy_obj_-7719398892021535332_-7719398892021535332.json
CC_0222,,2026-04-15 21:00:00.000,7,14,20,575,,,,VeryEasy_obj_-6941315819392539970_-6941315819392539970.json
CC_0177,,2026-03-27 12:00:00.000,6,11,20,585,74,56,47,Easy_obj_2435385454690056842_2435385454690056842.json
CC_0031,,2026-03-27 03:00:00.000,6,18,30,880,98,73,83,Hard_obj_-785890137091345071_-785890137091345071.json
CC_0247,,2026-04-16 06:00:00.000,12,18,32,930,,,,Hard_obj_-587834331763827095_-587834331763827095.json
CC_0180,,2026-03-27 21:00:00.000,8,13,24,670,91,27,13,Easy_obj_4489317380655479886_4489317380655479886.json
CC_0215,,2026-04-15 21:00:00.000,6,10,20,520,,,,VeryEasy_obj_-1276326755563476544_-1276326755563476544.json
CC_0090,,2026-03-26 18:00:00.000,4,8,25,710,68,8,8,Easy_obj_-3890466614938630821_-3890466614938630821.json
CC_0091,,2026-03-26 09:00:00.000,8,16,21,640,,,,Easy_obj_-4112116539429186425_-4112116539429186425.json
CC_0022,,2026-03-26 18:00:00.000,8,13,28,800,90,11,10,Easy_obj_3228166633449498999_3228166633449498999.json
TUT_0019,19,2026-04-01 12:00:00.000,2,5,13,340,0,0,0,Tutorial_0022_1346022.json
CC_0033,,2026-03-26 09:00:00.000,10,14,28,820,95,5,1,Hard_obj_-1306414599332998986_-1306414599332998986.json
CC_0115,,2026-03-27 12:00:00.000,12,18,31,860,99,85,93,Hard_obj_-7345353388280909966_-7345353388280909966.json
CC_0089,,2026-03-26 09:00:00.000,4,8,27,775,,,,Easy_obj_-2276062446783637185_-2276062446783637185.json
CC_0003,,2026-03-27 12:00:00.000,,17,23,670,92,30,84,Easy_obj_-1455324682596201204_-1455324682596201204.json
CC_0006,,2026-03-27 12:00:00.000,11,17,24,690,93,26,14,Easy_obj_-2715414846864414045_-2715414846864414045.json
CC_0075,,2026-03-26 09:00:00.000,4,8,20,550,,,,VeryEasy_obj_2762148058397108396_2762148058397108396.json
CC_0142,,2026-03-26 09:00:00.000,5,10,20,585,,,,VeryEasy_obj_-3228993952559680366_-3228993952559680366.json
CC_0209,,2026-04-15 21:00:00.000,6,10,30,830,,,,Normal_obj_6352701654334186823_6352701654334186823.json
CC_0152,,2026-03-26 09:00:00.000,6,10,20,585,,,,VeryEasy_obj_2214669136406969930_2214669136406969930.json
CC_0092,,2026-03-26 09:00:00.000,12,16,26,730,,,,Easy_obj_-4766558895716017151_-4766558895716017151.json
CC_0109,,2026-03-26 09:00:00.000,6,10,28,775,,,,Easy_obj_8056353492817243643_8056353492817243643.json
CC_0240,,2026-04-15 21:00:00.000,5,8,22,595,,,,VeryEasy_obj_8227147783332148297_8227147783332148297.json
CC_0208,,2026-04-15 21:00:00.000,5,7,20,450,,,,Normal_obj_5811656403611471358_5811656403611471358.json
CC_0124,,2026-03-26 09:00:00.000,6,10,29,820,83,12,11,Normal_obj_-1823325553753902879_-1823325553753902879.json
CC_0010,,2026-03-27 12:00:00.000,13,17,22,645,98,43,35,Easy_obj_-3944058996604576779_-3944058996604576779.json
CC_0237,,2026-04-15 21:00:00.000,6,11,20,555,,,,VeryEasy_obj_3893966795715816579_3893966795715816579.json
CC_0229,,2026-04-15 21:00:00.000,5,10,19,535,,,,VeryEasy_obj_-8731091838896925492_-8731091838896925492.json
CC_0211,,2026-04-15 21:00:00.000,6,16,28,790,,,,Normal_obj_7084936358921540177_7084936358921540177.json
CC_0216,,2026-04-15 21:00:00.000,6,10,19,500,,,,VeryEasy_obj_-2833457327188849690_-2833457327188849690.json
CC_0027,,2026-03-27 12:00:00.000,6,18,24,665,97,50,92,Easy_obj_5703880006509274347_5703880006509274347.json
CC_0039,,2026-03-27 12:00:00.000,6,10,28,735,76,60,29,Normal_obj_-1694522488346835017_-1694522488346835017.json
CC_0264,,2026-04-15 21:00:00.000,5,10,32,925,,,,Hard_obj_-7292222822313839875_-7292222822313839875.json
CC_0256,,2026-04-15 21:00:00.000,8,15,35,1000,,,,Hard_obj_-5052073614748155716_-5052073614748155716.json
CC_0255,,2026-04-15 21:00:00.000,8,10,30,905,,,,Hard_obj_-4930359017288338014_-4930359017288338014.json
CC_0059,,2026-03-26 09:00:00.000,5,13,22,590,,,,VeryEasy_obj_-3360825912045156182_-3360825912045156182.json
