stage_id,tier,fn,deck,suggested_deck,delta,confidence,field,max_depth,exposed_init,avg_frontier,min_frontier,est_needed,ratio,clear_a,clear_b,clear_c
CC_0253,Hard,Hard_obj_-4367956446511700689_-4367956446511700689.json,10,16,6,HIGH,29,9,4,3.896551724137931,1,15.04,0.66,,,
CC_0252,Hard,Hard_obj_-4085239007266526198_-4085239007266526198.json,10,11,1,LOW,32,5,10,6.1875,1,10.67,0.94,,,
CC_0146,VeryEasy,VeryEasy_obj_-6691285707872859643_-6691285707872859643.json,9,11,2,HIGH,21,4,5,3.857142857142857,1,8.07,1.11,2,17,19
CC_0275,Hard,Hard_obj_3015781939616589612_3015781939616589612.json,10,15,5,HIGH,30,7,4,3.433333333333333,1,13.53,0.74,,,
CC_0271,Hard,Hard_obj_2136597098790465194_2136597098790465194.json,10,13,3,MEDIUM,30,6,5,3.533333333333333,1,12.3,0.81,,,
CC_0038,Normal,Normal_obj_-980244589156319485_-980244589156319485.json,20,22,2,HIGH,30,5,6,3.2333333333333334,1,11.02,1.81,1,12,29
CC_0267,Hard,Hard_obj_-8581124268425051125_-8581124268425051125.json,10,13,3,MEDIUM,32,5,4,2.9375,1,11.86,0.84,,,
CC_0266,Hard,Hard_obj_-8085993676552886899_-8085993676552886899.json,10,13,3,MEDIUM,31,6,8,4.225806451612903,1,11.88,0.84,,,
CC_0082,VeryEasy,VeryEasy_obj_7977985121917331868_7977985121917331868.json,12,14,2,HIGH,19,2,7,3.8947368421052633,1,5.03,2.39,0,29,42
CC_0250,Hard,Hard_obj_-2535467368716262032_-2535467368716262032.json,10,14,4,MEDIUM,31,6,5,4.193548387096774,1,12.54,0.8,,,
CC_0116,Hard,Hard_obj_4318439546011939075_4318439546011939075.json,18,20,2,HIGH,32,6,5,2.8125,1,12.77,1.41,20,2,22
CC_0103,Easy,Easy_obj_421220124618729722_421220124618729722.json,16,18,2,HIGH,22,4,9,5.0,1,7.46,2.14,3,78,60
CC_0166,Easy,Easy_obj_-1911471411139201695_-1911471411139201695.json,10,12,2,LOW,26,6,6,4.153846153846154,1,11.05,0.91,78,12,11
CC_0017,Easy,Easy_obj_-9170708446745828065_-9170708446745828065.json,5,8,3,HIGH,25,3,11,5.48,1,6.75,0.74,7,0,6
CC_0242,VeryEasy,VeryEasy_obj_8554537005776796579_8554537005776796579.json,6,7,1,LOW,18,4,7,3.8333333333333335,1,6.84,0.88,,,
CC_0274,Hard,Hard_obj_2614617043532549192_2614617043532549192.json,10,13,3,MEDIUM,31,6,6,3.4838709677419355,1,12.32,0.81,,,
CC_0144,VeryEasy,VeryEasy_obj_-5948220406407893431_-5948220406407893431.json,12,14,2,HIGH,20,5,8,4.65,1,8.0,1.5,10,61,30
CC_0176,Easy,Easy_obj_463766349787096359_463766349787096359.json,8,10,2,HIGH,29,3,7,4.310344827586207,1,8.2,0.98,21,25,27
CC_0171,Easy,Easy_obj_-8228455277662928550_-8228455277662928550.json,7,10,3,MEDIUM,22,5,8,4.863636363636363,1,8.58,0.82,62,29,26
CC_0167,Easy,Easy_obj_-3217003002116541924_-3217003002116541924.json,14,16,2,HIGH,20,5,6,3.0,1,8.5,1.65,0,42,26
CC_0090,Easy,Easy_obj_-3890466614938630821_-3890466614938630821.json,8,9,1,LOW,25,4,6,3.64,1,8.8,0.91,68,8,8
CC_0264,Hard,Hard_obj_-7292222822313839875_-7292222822313839875.json,10,12,2,LOW,32,5,6,4.5625,1,11.46,0.87,,,
CC_0263,Hard,Hard_obj_-6858756943211057750_-6858756943211057750.json,10,14,4,MEDIUM,31,7,6,3.3225806451612905,1,13.31,0.75,,,
CC_0255,Hard,Hard_obj_-4930359017288338014_-4930359017288338014.json,10,14,4,MEDIUM,30,7,5,4.8,1,13.28,0.75,,,
CC_0254,Hard,Hard_obj_-4476877194344761137_-4476877194344761137.json,10,12,2,LOW,32,5,8,5.125,1,11.07,0.9,,,
CC_0044,Normal,Normal_obj_1831427186976436287_1831427186976436287.json,8,10,2,LOW,30,5,14,10.5,1,9.39,0.85,74,66,26
CC_0023,Easy,Easy_obj_3831311201260693714_3831311201260693714.json,12,14,2,HIGH,16,4,6,4.4375,1,6.5,1.85,12,98,97
CC_0137,Normal,Normal_obj_9109329256775260811_9109329256775260811.json,10,14,4,MEDIUM,28,7,5,3.75,1,12.75,0.78,,,
CC_0136,Normal,Normal_obj_9005262734481547871_9005262734481547871.json,13,14,1,HIGH,26,9,5,3.730769230769231,1,13.83,0.94,0,32,19
CC_0009,Easy,Easy_obj_-3819987064685043330_-3819987064685043330.json,12,14,2,HIGH,26,5,8,5.5,1,9.65,1.24,0,75,43
CC_0272,Hard,Hard_obj_2408438036868712511_2408438036868712511.json,10,12,2,LOW,31,5,5,3.064516129032258,1,11.45,0.87,,,
CC_0273,Hard,Hard_obj_2519617144431508815_2519617144431508815.json,10,15,5,HIGH,30,8,6,4.766666666666667,1,13.94,0.72,,,
CC_0269,Hard,Hard_obj_269226819039724544_269226819039724544.json,10,13,3,MEDIUM,31,6,7,3.7419354838709675,1,12.1,0.83,,,
CC_0187,Hard,Hard_obj_-4717586371069404904_-4717586371069404904.json,9,12,3,MEDIUM,29,6,9,5.068965517241379,1,11.14,0.81,76,11,1
CC_0121,Normal,Normal_obj_-949791933841341856_-949791933841341856.json,8,9,1,LOW,27,4,8,4.296296296296297,1,8.85,0.9,74,7,6
CC_0206,Normal,Normal_obj_5370209783260445704_5370209783260445704.json,8,15,7,HIGH,27,9,7,3.6296296296296298,1,13.57,0.59,,,
