stage_id,tier,fn,deck,suggested_deck,delta,confidence,field,max_depth,exposed_init,peaks,avg_frontier,est_needed,diff,clear_a,clear_b,clear_c,user_feedback
CC_0288,Hard,Hard_obj_7749217512935342267_7749217512935342267.json,13,15,2,LOW,30,7,6,7,5.333333333333333,13.67,-0.67,,,,
CC_0282,Hard,Hard_obj_6482808623463430949_6482808623463430949.json,13,15,2,LOW,31,5,7,8,4.129032258064516,13.75,-0.75,,,,
CC_0279,Hard,Hard_obj_4967511773866997684_4967511773866997684.json,12,16,4,MEDIUM,30,7,6,6,3.4,14.44,-2.44,,,,
CC_0133,Normal,Normal_obj_4533743168158959430_4533743168158959430.json,10,14,4,MEDIUM,29,5,9,5,5.206896551724138,12.52,-2.52,74,11,1,
CC_0007,Easy,Easy_obj_-3577985653752088467_-3577985653752088467.json,8,14,6,HIGH,25,5,6,9,3.96,11.42,-3.42,75,12,6,hard
CC_0111,Hard,Hard_obj_-1237604880740496036_-1237604880740496036.json,7,10,3,MEDIUM,20,3,8,7,5.15,8.14,-1.14,,,,
CC_0054,Normal,Normal_obj_8531102714590821791_8531102714590821791.json,10,15,5,HIGH,31,4,8,7,4.032258064516129,13.39,-3.39,78,8,1,
CC_0292,Hard,Hard_obj_9123945858537713509_9123945858537713509.json,10,15,5,HIGH,32,5,11,11,6.0,13.4,-3.4,,,,
CC_0232,VeryEasy,VeryEasy_obj_2533780747040595241_2533780747040595241.json,6,11,5,HIGH,20,3,5,7,3.65,8.74,-2.74,,,,hard
CC_0286,Hard,Hard_obj_7629362497685869891_7629362497685869891.json,10,15,5,HIGH,31,5,8,5,4.483870967741935,13.61,-3.61,,,,
CC_0253,Hard,Hard_obj_-4367956446511700689_-4367956446511700689.json,10,16,6,HIGH,29,9,4,7,3.896551724137931,14.64,-4.64,,,,
CC_0252,Hard,Hard_obj_-4085239007266526198_-4085239007266526198.json,10,15,5,MEDIUM,32,5,10,8,6.1875,13.33,-3.33,,,,
CC_0275,Hard,Hard_obj_3015781939616589612_3015781939616589612.json,10,16,6,HIGH,30,7,4,6,3.433333333333333,14.43,-4.43,,,,
CC_0271,Hard,Hard_obj_2136597098790465194_2136597098790465194.json,10,15,5,HIGH,30,6,5,6,3.533333333333333,13.99,-3.99,,,,
CC_0025,Easy,Easy_obj_4128039804169441458_4128039804169441458.json,6,13,7,HIGH,28,2,10,13,5.142857142857143,10.94,-4.94,70,6,4,hard
CC_0038,Normal,Normal_obj_-980244589156319485_-980244589156319485.json,20,23,3,HIGH,30,5,6,8,3.2333333333333334,13.71,6.29,1,12,29,
CC_0040,Normal,Normal_obj_-4683521763437329335_-4683521763437329335.json,10,13,3,MEDIUM,29,3,12,8,4.793103448275862,11.88,-1.88,55,6,3,
CC_0128,Normal,Normal_obj_-9075794490093729707_-9075794490093729707.json,10,14,4,MEDIUM,30,3,7,12,4.366666666666666,12.45,-2.45,80,25,12,
CC_0267,Hard,Hard_obj_-8581124268425051125_-8581124268425051125.json,10,17,7,HIGH,32,5,4,4,2.9375,14.62,-4.62,,,,hard
CC_0266,Hard,Hard_obj_-8085993676552886899_-8085993676552886899.json,10,16,6,HIGH,31,6,8,8,4.225806451612903,14.11,-4.11,,,,
CC_0169,Easy,Easy_obj_-4720816346241619179_-4720816346241619179.json,8,10,2,LOW,24,3,9,10,7.5,8.8,-0.8,72,43,17,
CC_0251,Hard,Hard_obj_-2584308845143270527_-2584308845143270527.json,11,16,5,HIGH,35,4,8,8,4.571428571428571,14.77,-3.77,,,,
CC_0250,Hard,Hard_obj_-2535467368716262032_-2535467368716262032.json,10,16,6,HIGH,31,6,5,8,4.193548387096774,14.12,-4.12,,,,
CC_0045,Normal,Normal_obj_3769052602463786627_3769052602463786627.json,12,14,2,LOW,28,5,8,6,3.7857142857142856,12.69,-0.69,,,,
CC_0116,Hard,Hard_obj_4318439546011939075_4318439546011939075.json,18,21,3,HIGH,32,6,5,5,2.8125,15.08,2.92,20,2,22,
CC_0103,Easy,Easy_obj_421220124618729722_421220124618729722.json,16,19,3,HIGH,22,4,9,9,5.0,9.4,6.6,3,78,60,
CC_0166,Easy,Easy_obj_-1911471411139201695_-1911471411139201695.json,10,14,4,MEDIUM,26,6,6,6,4.153846153846154,12.14,-2.14,78,12,11,
CC_0017,Easy,Easy_obj_-9170708446745828065_-9170708446745828065.json,5,13,8,HIGH,25,3,11,10,5.48,10.01,-5.01,7,0,6,hard
CC_0242,VeryEasy,VeryEasy_obj_8554537005776796579_8554537005776796579.json,6,11,5,HIGH,18,4,7,10,3.8333333333333335,8.27,-2.27,,,,hard
CC_0171,Easy,Easy_obj_-8228455277662928550_-8228455277662928550.json,7,12,5,HIGH,22,5,8,8,4.863636363636363,9.85,-2.85,62,29,26,hard
CC_0182,Easy,Easy_obj_5582524774713652387_5582524774713652387.json,10,15,5,HIGH,28,4,6,6,3.642857142857143,12.34,-2.34,76,9,1,hard
CC_0167,Easy,Easy_obj_-3217003002116541924_-3217003002116541924.json,14,17,3,HIGH,20,5,6,7,3.0,9.8,4.2,0,42,26,
CC_0212,Normal,Normal_obj_7439413060091581926_7439413060091581926.json,6,13,7,HIGH,27,2,9,12,4.222222222222222,10.91,-4.91,,,,hard
CC_0090,Easy,Easy_obj_-3890466614938630821_-3890466614938630821.json,8,14,6,HIGH,25,4,6,12,3.64,11.14,-3.14,68,8,8,hard
CC_0209,Normal,Normal_obj_6352701654334186823_6352701654334186823.json,10,14,4,MEDIUM,30,4,9,8,5.066666666666666,12.57,-2.57,,,,
CC_0109,Easy,Easy_obj_8056353492817243643_8056353492817243643.json,10,13,3,MEDIUM,28,3,8,15,5.607142857142857,11.16,-1.16,,,,
CC_0264,Hard,Hard_obj_-7292222822313839875_-7292222822313839875.json,10,15,5,HIGH,32,5,6,10,4.5625,13.98,-3.98,,,,
CC_0263,Hard,Hard_obj_-6858756943211057750_-6858756943211057750.json,10,17,7,HIGH,31,7,6,3,3.3225806451612905,14.87,-4.87,,,,hard
CC_0255,Hard,Hard_obj_-4930359017288338014_-4930359017288338014.json,10,15,5,HIGH,30,7,5,6,4.8,13.88,-3.88,,,,
CC_0254,Hard,Hard_obj_-4476877194344761137_-4476877194344761137.json,10,15,5,HIGH,32,5,8,10,5.125,13.75,-3.75,,,,
CC_0095,Easy,Easy_obj_-6047974373355539936_-6047974373355539936.json,10,12,2,LOW,26,4,9,9,5.153846153846154,10.94,-0.94,,,,
CC_0044,Normal,Normal_obj_1831427186976436287_1831427186976436287.json,8,12,4,HIGH,30,5,14,12,10.5,10.8,-2.8,74,66,26,
CC_0023,Easy,Easy_obj_3831311201260693714_3831311201260693714.json,12,15,3,HIGH,16,4,6,11,4.4375,7.22,4.78,12,98,97,
CC_0164,VeryEasy,VeryEasy_obj_9170902172408887236_9170902172408887236.json,7,12,5,HIGH,19,3,6,6,3.8421052631578947,8.26,-1.26,71,12,11,hard
CC_0137,Normal,Normal_obj_9109329256775260811_9109329256775260811.json,10,15,5,HIGH,28,7,5,7,3.75,13.5,-3.5,,,,
CC_0136,Normal,Normal_obj_9005262734481547871_9005262734481547871.json,13,18,5,HIGH,26,9,5,8,3.730769230769231,13.51,-0.51,0,32,19,hard
CC_0192,Hard,Hard_obj_6427872015658360888_6427872015658360888.json,13,15,2,LOW,29,7,6,5,3.8620689655172415,13.86,-0.86,,,,
CC_0190,Hard,Hard_obj_3899271523029084104_3899271523029084104.json,10,15,5,MEDIUM,32,5,11,10,6.4375,13.23,-3.23,,,,
CC_0009,Easy,Easy_obj_-3819987064685043330_-3819987064685043330.json,12,15,3,HIGH,26,5,8,8,5.5,11.2,0.8,0,75,43,
CC_0272,Hard,Hard_obj_2408438036868712511_2408438036868712511.json,10,16,6,HIGH,31,5,5,8,3.064516129032258,14.17,-4.17,,,,
CC_0269,Hard,Hard_obj_269226819039724544_269226819039724544.json,10,16,6,HIGH,31,6,7,10,3.7419354838709675,14.3,-4.3,,,,
CC_0219,VeryEasy,VeryEasy_obj_-5924488609331911666_-5924488609331911666.json,6,11,5,HIGH,15,3,4,7,2.6666666666666665,7.13,-1.13,,,,hard
CC_0127,Normal,Normal_obj_-4896860215059842360_-4896860215059842360.json,10,13,3,MEDIUM,28,5,8,7,5.642857142857143,11.94,-1.94,75,10,4,
CC_0187,Hard,Hard_obj_-4717586371069404904_-4717586371069404904.json,9,14,5,HIGH,29,6,9,7,5.068965517241379,12.97,-3.97,76,11,1,
CC_0119,Normal,Normal_obj_-45362167705950980_-45362167705950980.json,10,15,5,HIGH,20,4,6,5,3.15,9.34,0.66,75,30,31,hard
CC_0121,Normal,Normal_obj_-949791933841341856_-949791933841341856.json,8,14,6,HIGH,27,4,8,5,4.296296296296297,11.68,-3.68,74,7,6,hard
