stage_id,tier,fn,deck,suggested_deck,delta,confidence,field,max_depth,exposed_init,peaks,avg_frontier,est_needed,ratio,clear_a,clear_b,clear_c,user_feedback,user_override
CC_0132,Normal,Normal_obj_4529999507329059760_4529999507329059760.json,12,17,5,MEDIUM,30,5,8,14,6.366666666666666,14.5,0.83,,,,,
CC_0277,Hard,Hard_obj_3583963274032080926_3583963274032080926.json,10,18,8,HIGH,31,6,8,10,6.290322580645161,15.3,0.65,,,,,
CC_0270,Hard,Hard_obj_1051189589259311343_1051189589259311343.json,12,17,5,MEDIUM,32,4,10,10,6.25,14.7,0.82,,,,,
CC_0268,Hard,Hard_obj_-9070411430884785648_-9070411430884785648.json,10,18,8,HIGH,31,4,7,7,4.064516129032258,14.95,0.67,,,,,
CC_0261,Hard,Hard_obj_-6775005880827077657_-6775005880827077657.json,14,18,4,LOW,30,7,6,8,3.6,15.6,0.9,,,,,
CC_0258,Hard,Hard_obj_-5936488566595491839_-5936488566595491839.json,11,19,8,HIGH,30,7,5,10,2.933333333333333,15.85,0.69,,,,,
CC_0245,Hard,Hard_obj_-440283477310521795_-440283477310521795.json,11,19,8,HIGH,32,5,6,8,3.875,16.0,0.69,,,,,
CC_0183,Easy,Easy_obj_5917400523554303550_5917400523554303550.json,5,10,5,HIGH,20,3,12,8,6.05,7.9,0.63,49,11,15,,
CC_0199,Normal,Normal_obj_1013913111840760766_1013913111840760766.json,10,18,8,HIGH,30,5,6,8,3.9,15.0,0.67,,,,,
CC_0129,Normal,Normal_obj_290478911730800373_290478911730800373.json,10,18,8,HIGH,30,5,6,18,6.166666666666667,15.0,0.67,1,28,19,,
CC_0201,Normal,Normal_obj_2585815236453019605_2585815236453019605.json,10,16,6,MEDIUM,28,3,6,14,4.535714285714286,13.4,0.75,,,,,
CC_0123,Normal,Normal_obj_-1656778296819317915_-1656778296819317915.json,12,18,6,MEDIUM,28,7,5,5,3.7857142857142856,14.85,0.81,,,,,
CC_0020,Easy,Easy_obj_2641590008734069844_2641590008734069844.json,18,20,2,HIGH,28,2,8,14,4.285714285714286,12.6,1.43,0,93,100,,
CC_0194,Normal,Normal_obj_-2363891663872883741_-2363891663872883741.json,11,15,4,LOW,28,3,9,11,5.535714285714286,12.65,0.87,,,,,
CC_0257,Hard,Hard_obj_-5831820742631492957_-5831820742631492957.json,11,19,8,HIGH,34,4,8,12,5.088235294117647,16.2,0.68,,,,,
CC_0053,Normal,Normal_obj_7498578966834877293_7498578966834877293.json,12,17,5,HIGH,30,4,6,4,3.566666666666667,14.7,0.82,13,10,9,,
CC_0285,Hard,Hard_obj_7510168185525752238_7510168185525752238.json,10,18,8,HIGH,31,4,6,6,3.032258064516129,15.2,0.66,,,,,
CC_0284,Hard,Hard_obj_7150741962077567140_7150741962077567140.json,10,18,8,HIGH,32,5,10,8,6.5625,15.0,0.67,,,,,
CC_0154,VeryEasy,VeryEasy_obj_3137257659081237449_3137257659081237449.json,9,12,3,LOW,20,4,5,9,4.4,9.95,0.9,,,,,
CC_0113,Hard,Hard_obj_-1971797449831386605_-1971797449831386605.json,14,18,4,LOW,28,8,5,4,3.607142857142857,15.15,0.92,,,,,
CC_0197,Normal,Normal_obj_-6094004898048360566_-6094004898048360566.json,10,16,6,HIGH,28,4,6,7,5.142857142857143,13.7,0.73,,,,,
CC_0288,Hard,Hard_obj_7749217512935342267_7749217512935342267.json,13,18,5,MEDIUM,30,7,6,7,5.333333333333333,15.6,0.83,,,,,
CC_0282,Hard,Hard_obj_6482808623463430949_6482808623463430949.json,13,18,5,LOW,31,5,7,8,4.129032258064516,15.25,0.85,,,,,
CC_0279,Hard,Hard_obj_4967511773866997684_4967511773866997684.json,12,18,6,MEDIUM,30,7,6,6,3.4,15.6,0.77,,,,,
CC_0050,Normal,Normal_obj_5840205091478623467_5840205091478623467.json,8,16,8,HIGH,28,4,6,8,2.857142857142857,13.7,0.58,,,,,
CC_0133,Normal,Normal_obj_4533743168158959430_4533743168158959430.json,10,16,6,HIGH,29,5,9,5,5.206896551724138,13.75,0.73,74,11,1,,
CC_0007,Easy,Easy_obj_-3577985653752088467_-3577985653752088467.json,8,15,7,HIGH,25,5,6,9,3.96,12.5,0.64,75,12,6,,
CC_0196,Normal,Normal_obj_-3191431181177358815_-3191431181177358815.json,12,16,4,LOW,30,4,10,8,6.0,13.7,0.88,,,,,
CC_0111,Hard,Hard_obj_-1237604880740496036_-1237604880740496036.json,7,11,4,MEDIUM,20,3,8,7,5.15,8.9,0.79,,,,,
CC_0054,Normal,Normal_obj_8531102714590821791_8531102714590821791.json,10,17,7,HIGH,31,4,8,7,4.032258064516129,14.7,0.68,78,8,1,,
CC_0096,Easy,Easy_obj_-6346614513330471020_-6346614513330471020.json,9,13,4,LOW,25,2,10,5,7.0,10.6,0.85,80,46,36,,
CC_0246,Hard,Hard_obj_-476816179683867428_-476816179683867428.json,11,18,7,HIGH,30,6,5,7,2.7333333333333334,15.55,0.71,,,,,
CC_0292,Hard,Hard_obj_9123945858537713509_9123945858537713509.json,10,17,7,HIGH,32,5,11,11,6.0,14.75,0.68,,,,,
CC_0232,VeryEasy,VeryEasy_obj_2533780747040595241_2533780747040595241.json,6,12,6,HIGH,20,3,5,7,3.65,9.65,0.62,,,,hard,
CC_0286,Hard,Hard_obj_7629362497685869891_7629362497685869891.json,10,18,8,HIGH,31,5,8,5,4.483870967741935,15.0,0.67,,,,,
CC_0253,Hard,Hard_obj_-4367956446511700689_-4367956446511700689.json,10,19,9,HIGH,29,9,4,7,3.896551724137931,16.2,0.62,,,,,
CC_0252,Hard,Hard_obj_-4085239007266526198_-4085239007266526198.json,10,18,8,HIGH,32,5,10,8,6.1875,15.0,0.67,,,,,
CC_0146,VeryEasy,VeryEasy_obj_-6691285707872859643_-6691285707872859643.json,9,13,4,HIGH,21,4,5,6,3.857142857142857,10.45,0.86,2,17,19,hard,
CC_0275,Hard,Hard_obj_3015781939616589612_3015781939616589612.json,10,19,9,HIGH,30,7,4,6,3.433333333333333,16.1,0.62,,,,,
CC_0271,Hard,Hard_obj_2136597098790465194_2136597098790465194.json,10,18,8,HIGH,30,6,5,6,3.533333333333333,15.55,0.64,,,,,
CC_0025,Easy,Easy_obj_4128039804169441458_4128039804169441458.json,6,14,8,HIGH,28,2,10,13,5.142857142857143,12.1,0.5,70,6,4,,
CC_0038,Normal,Normal_obj_-980244589156319485_-980244589156319485.json,20,22,2,HIGH,30,5,6,8,3.2333333333333334,15.0,1.33,1,12,29,,
CC_0040,Normal,Normal_obj_-4683521763437329335_-4683521763437329335.json,10,15,5,MEDIUM,29,3,12,8,4.793103448275862,12.4,0.81,55,6,3,,
CC_0128,Normal,Normal_obj_-9075794490093729707_-9075794490093729707.json,10,17,7,HIGH,30,3,7,12,4.366666666666666,14.15,0.71,80,25,12,,
CC_0267,Hard,Hard_obj_-8581124268425051125_-8581124268425051125.json,10,19,9,HIGH,32,5,4,4,2.9375,16.5,0.61,,,,,
CC_0266,Hard,Hard_obj_-8085993676552886899_-8085993676552886899.json,10,18,8,HIGH,31,6,8,8,4.225806451612903,15.3,0.65,,,,,
CC_0169,Easy,Easy_obj_-4720816346241619179_-4720816346241619179.json,8,13,5,MEDIUM,24,3,9,10,7.5,10.65,0.75,72,43,17,,
CC_0251,Hard,Hard_obj_-2584308845143270527_-2584308845143270527.json,11,20,9,HIGH,35,4,8,8,4.571428571428571,16.7,0.66,,,,,
CC_0250,Hard,Hard_obj_-2535467368716262032_-2535467368716262032.json,10,19,9,HIGH,31,6,5,8,4.193548387096774,16.05,0.62,,,,,
CC_0184,Easy,Easy_obj_6125248256196065824_6125248256196065824.json,9,15,6,HIGH,26,4,7,9,4.615384615384615,12.45,0.72,70,30,29,,
CC_0045,Normal,Normal_obj_3769052602463786627_3769052602463786627.json,12,16,4,LOW,28,5,8,6,3.7857142857142856,13.5,0.89,,,,,
CC_0116,Hard,Hard_obj_4318439546011939075_4318439546011939075.json,18,20,2,HIGH,32,6,5,5,2.8125,16.55,1.09,20,2,22,,
CC_0103,Easy,Easy_obj_421220124618729722_421220124618729722.json,16,18,2,HIGH,22,4,9,9,5.0,9.95,1.61,3,78,60,,
CC_0166,Easy,Easy_obj_-1911471411139201695_-1911471411139201695.json,10,16,6,MEDIUM,26,6,6,6,4.153846153846154,13.3,0.75,78,12,11,,
CC_0017,Easy,Easy_obj_-9170708446745828065_-9170708446745828065.json,5,13,8,HIGH,25,3,11,10,5.48,10.65,0.47,7,0,6,hard,
CC_0242,VeryEasy,VeryEasy_obj_8554537005776796579_8554537005776796579.json,6,10,4,HIGH,18,4,7,10,3.8333333333333335,8.45,0.71,,,,hard,
CC_0274,Hard,Hard_obj_2614617043532549192_2614617043532549192.json,10,19,9,HIGH,31,6,6,5,3.4838709677419355,15.8,0.63,,,,,
CC_0176,Easy,Easy_obj_463766349787096359_463766349787096359.json,8,16,8,HIGH,29,3,7,14,4.310344827586207,13.65,0.59,21,25,27,hard,
CC_0171,Easy,Easy_obj_-8228455277662928550_-8228455277662928550.json,7,13,6,HIGH,22,5,8,8,4.863636363636363,10.5,0.67,62,29,26,,
CC_0182,Easy,Easy_obj_5582524774713652387_5582524774713652387.json,10,16,6,HIGH,28,4,6,6,3.642857142857143,13.7,0.73,76,9,1,,
CC_0170,Easy,Easy_obj_-7982215790531385497_-7982215790531385497.json,7,12,5,HIGH,24,3,10,8,5.833333333333333,10.4,0.67,55,18,17,,
CC_0167,Easy,Easy_obj_-3217003002116541924_-3217003002116541924.json,14,16,2,HIGH,20,5,6,7,3.0,10.0,1.4,0,42,26,,
CC_0212,Normal,Normal_obj_7439413060091581926_7439413060091581926.json,6,14,8,HIGH,27,2,9,12,4.222222222222222,11.85,0.51,,,,,
CC_0090,Easy,Easy_obj_-3890466614938630821_-3890466614938630821.json,8,15,7,HIGH,25,4,6,12,3.64,12.2,0.66,68,8,8,,
CC_0089,Easy,Easy_obj_-2276062446783637185_-2276062446783637185.json,8,16,8,HIGH,27,3,5,8,3.740740740740741,13.15,0.61,,,,,
CC_0075,VeryEasy,VeryEasy_obj_2762148058397108396_2762148058397108396.json,8,11,3,LOW,20,2,6,8,3.95,9.1,0.88,,,,,
CC_0209,Normal,Normal_obj_6352701654334186823_6352701654334186823.json,10,17,7,HIGH,30,4,9,8,5.066666666666666,13.95,0.72,,,,,
CC_0109,Easy,Easy_obj_8056353492817243643_8056353492817243643.json,10,15,5,MEDIUM,28,3,8,15,5.607142857142857,12.9,0.78,,,,,
CC_0240,VeryEasy,VeryEasy_obj_8227147783332148297_8227147783332148297.json,8,12,4,MEDIUM,22,3,8,10,4.7727272727272725,9.9,0.81,,,,,
CC_0039,Normal,Normal_obj_-1694522488346835017_-1694522488346835017.json,10,14,4,MEDIUM,28,3,12,8,7.071428571428571,11.9,0.84,76,60,29,,
CC_0264,Hard,Hard_obj_-7292222822313839875_-7292222822313839875.json,10,19,9,HIGH,32,5,6,10,4.5625,16.0,0.62,,,,,
CC_0263,Hard,Hard_obj_-6858756943211057750_-6858756943211057750.json,10,19,9,HIGH,31,7,6,3,3.3225806451612905,16.1,0.62,,,,,
CC_0256,Hard,Hard_obj_-5052073614748155716_-5052073614748155716.json,15,20,5,LOW,35,4,7,7,5.371428571428571,16.95,0.88,,,,,
CC_0255,Hard,Hard_obj_-4930359017288338014_-4930359017288338014.json,10,19,9,HIGH,30,7,5,6,4.8,15.85,0.63,,,,,
CC_0254,Hard,Hard_obj_-4476877194344761137_-4476877194344761137.json,10,18,8,HIGH,32,5,8,10,5.125,15.5,0.65,,,,,
CC_0095,Easy,Easy_obj_-6047974373355539936_-6047974373355539936.json,10,14,4,MEDIUM,26,4,9,9,5.153846153846154,11.95,0.84,,,,,
CC_0044,Normal,Normal_obj_1831427186976436287_1831427186976436287.json,8,15,7,HIGH,30,5,14,12,10.5,13.0,0.62,74,66,26,,
CC_0023,Easy,Easy_obj_3831311201260693714_3831311201260693714.json,12,14,2,HIGH,16,4,6,11,4.4375,7.7,1.56,12,98,97,,
CC_0049,Normal,Normal_obj_5804309417974679092_5804309417974679092.json,11,14,3,LOW,27,3,10,7,5.703703703703703,11.9,0.92,,,,,
CC_0164,VeryEasy,VeryEasy_obj_9170902172408887236_9170902172408887236.json,7,11,4,MEDIUM,19,3,6,6,3.8421052631578947,8.9,0.79,71,12,11,,
CC_0137,Normal,Normal_obj_9109329256775260811_9109329256775260811.json,10,18,8,HIGH,28,7,5,7,3.75,14.85,0.67,,,,,
CC_0175,Easy,Easy_obj_-9175821671489067789_-9175821671489067789.json,12,16,4,MEDIUM,28,3,7,7,4.678571428571429,13.15,0.91,39,45,14,,
CC_0136,Normal,Normal_obj_9005262734481547871_9005262734481547871.json,13,17,4,HIGH,26,9,5,8,3.730769230769231,14.45,0.9,0,32,19,,
CC_0192,Hard,Hard_obj_6427872015658360888_6427872015658360888.json,13,18,5,LOW,29,7,6,5,3.8620689655172415,15.1,0.86,,,,,
CC_0190,Hard,Hard_obj_3899271523029084104_3899271523029084104.json,10,17,7,HIGH,32,5,11,10,6.4375,14.75,0.68,,,,,
CC_0009,Easy,Easy_obj_-3819987064685043330_-3819987064685043330.json,12,15,3,HIGH,26,5,8,8,5.5,12.5,0.96,0,75,43,,
CC_0272,Hard,Hard_obj_2408438036868712511_2408438036868712511.json,10,19,9,HIGH,31,5,5,8,3.064516129032258,15.75,0.63,,,,,
CC_0273,Hard,Hard_obj_2519617144431508815_2519617144431508815.json,10,19,9,HIGH,30,8,6,8,4.766666666666667,15.9,0.63,,,,,
CC_0269,Hard,Hard_obj_269226819039724544_269226819039724544.json,10,18,8,HIGH,31,6,7,10,3.7419354838709675,15.55,0.64,,,,,
CC_0219,VeryEasy,VeryEasy_obj_-5924488609331911666_-5924488609331911666.json,6,9,3,MEDIUM,15,3,4,7,2.6666666666666665,7.4,0.81,,,,,
CC_0127,Normal,Normal_obj_-4896860215059842360_-4896860215059842360.json,10,16,6,HIGH,28,5,8,7,5.642857142857143,13.5,0.74,75,10,4,,
CC_0187,Hard,Hard_obj_-4717586371069404904_-4717586371069404904.json,9,17,8,HIGH,29,6,9,7,5.068965517241379,14.05,0.64,76,11,1,,
CC_0121,Normal,Normal_obj_-949791933841341856_-949791933841341856.json,8,15,7,HIGH,27,4,8,5,4.296296296296297,12.7,0.63,74,7,6,,
CC_0206,Normal,Normal_obj_5370209783260445704_5370209783260445704.json,8,17,9,HIGH,27,9,7,10,3.6296296296296298,14.45,0.55,,,,,
CC_0016,Easy,Easy_obj_-6845371592253495967_-6845371592253495967.json,14,18,4,HIGH,23,6,7,11,4.565217391304348,11.55,1.21,64,9,11,hard,hard
CC_0216,VeryEasy,VeryEasy_obj_-2833457327188849690_-2833457327188849690.json,10,13,3,HIGH,19,4,9,6,4.947368421052632,8.45,1.18,,,,hard,hard
