stage_id,tier,fn,field,max_depth,face_down,deck,needed_deck,delta,bottleneck,target_btl,clear_a,clear_b,clear_c
CC_0160,VeryEasy,VeryEasy_obj_6192741706486804959_6192741706486804959.json,20,4,20,10,13,3,8.0,6.333333333333333,81,19,16
CC_0235,VeryEasy,VeryEasy_obj_3113305285785652104_3113305285785652104.json,20,5,20,13,16,3,7.6923076923076925,6.333333333333333,,,
CC_0243,VeryEasy,VeryEasy_obj_8758547653190156292_8758547653190156292.json,21,4,21,11,14,3,7.636363636363637,6.333333333333333,,,
CC_0074,VeryEasy,VeryEasy_obj_2406463454516795606_2406463454516795606.json,19,6,19,15,18,3,7.6,6.333333333333333,,,
CC_0164,VeryEasy,VeryEasy_obj_9170902172408887236_9170902172408887236.json,19,3,19,7,9,2,8.142857142857142,6.333333333333333,71,12,11
CC_0141,VeryEasy,VeryEasy_obj_-2712095962621706499_-2712095962621706499.json,19,4,19,10,12,2,7.6,6.333333333333333,89,30,25
CC_0216,VeryEasy,VeryEasy_obj_-2833457327188849690_-2833457327188849690.json,19,4,19,10,12,2,7.6,6.333333333333333,,,
CC_0166,Easy,Easy_obj_-1911471411139201695_-1911471411139201695.json,26,6,26,10,21,11,15.6,7.5,78,12,11
CC_0014,Easy,Easy_obj_-6253912204719183690_-6253912204719183690.json,20,7,20,9,19,10,15.555555555555555,7.5,78,10,12
CC_0007,Easy,Easy_obj_-3577985653752088467_-3577985653752088467.json,25,5,25,8,17,9,15.625,7.5,75,12,6
CC_0171,Easy,Easy_obj_-8228455277662928550_-8228455277662928550.json,22,5,22,7,15,8,15.714285714285714,7.5,62,29,26
CC_0108,Easy,Easy_obj_7449358948076161530_7449358948076161530.json,21,6,21,10,17,7,12.6,7.5,82,46,36
CC_0019,Easy,Easy_obj_1970069471253374735_1970069471253374735.json,25,5,25,10,17,7,12.5,7.5,0,47,39
CC_0173,Easy,Easy_obj_-9034849251228621764_-9034849251228621764.json,20,7,20,12,19,7,11.666666666666666,7.5,82,32,27
CC_0001,Easy,Easy_obj_-3647190157396289_-3647190157396289.json,23,6,23,12,19,7,11.5,7.5,87,24,21
CC_0091,Easy,Easy_obj_-4112116539429186425_-4112116539429186425.json,21,8,21,16,23,7,10.5,7.5,,,
CC_0090,Easy,Easy_obj_-3890466614938630821_-3890466614938630821.json,25,4,25,8,14,6,12.5,7.5,68,8,8
CC_0009,Easy,Easy_obj_-3819987064685043330_-3819987064685043330.json,26,5,26,12,18,6,10.833333333333334,7.5,0,75,43
CC_0017,Easy,Easy_obj_-9170708446745828065_-9170708446745828065.json,25,3,25,5,10,5,15.0,7.5,7,0,6
CC_0184,Easy,Easy_obj_6125248256196065824_6125248256196065824.json,26,4,26,9,14,5,11.555555555555555,7.5,70,30,29
CC_0182,Easy,Easy_obj_5582524774713652387_5582524774713652387.json,28,4,28,10,15,5,11.2,7.5,76,9,1
CC_0102,Easy,Easy_obj_52113043959410109_52113043959410109.json,24,5,24,11,16,5,10.909090909090908,7.5,,,
CC_0012,Easy,Easy_obj_-5161379865128801438_-5161379865128801438.json,26,5,26,13,18,5,10.0,7.5,93,24,13
CC_0176,Easy,Easy_obj_463766349787096359_463766349787096359.json,29,3,29,8,12,4,10.875,7.5,21,25,27
CC_0095,Easy,Easy_obj_-6047974373355539936_-6047974373355539936.json,26,4,26,10,14,4,10.4,7.5,,,
CC_0097,Easy,Easy_obj_-7388141165237645368_-7388141165237645368.json,28,4,28,11,15,4,10.181818181818182,7.5,87,39,21
CC_0183,Easy,Easy_obj_5917400523554303550_5917400523554303550.json,20,3,20,5,8,3,12.0,7.5,49,11,15
CC_0170,Easy,Easy_obj_-7982215790531385497_-7982215790531385497.json,24,3,24,7,10,3,10.285714285714286,7.5,55,18,17
CC_0089,Easy,Easy_obj_-2276062446783637185_-2276062446783637185.json,27,3,27,8,11,3,10.125,7.5,,,
CC_0206,Normal,Normal_obj_5370209783260445704_5370209783260445704.json,27,9,27,8,27,19,30.375,9.0,,,
CC_0136,Normal,Normal_obj_9005262734481547871_9005262734481547871.json,26,9,26,13,26,13,18.0,9.0,0,32,19
CC_0137,Normal,Normal_obj_9109329256775260811_9109329256775260811.json,28,7,28,10,22,12,19.6,9.0,,,
CC_0042,Normal,Normal_obj_-5087021377552378296_-5087021377552378296.json,29,6,29,10,20,10,17.4,9.0,,,
CC_0124,Normal,Normal_obj_-1823325553753902879_-1823325553753902879.json,29,6,29,10,20,10,17.4,9.0,83,12,11
CC_0123,Normal,Normal_obj_-1656778296819317915_-1656778296819317915.json,28,7,28,12,22,10,16.333333333333332,9.0,,,
CC_0044,Normal,Normal_obj_1831427186976436287_1831427186976436287.json,30,5,30,8,17,9,18.75,9.0,74,66,26
CC_0041,Normal,Normal_obj_-4992867742494819935_-4992867742494819935.json,27,7,27,13,21,8,14.538461538461538,9.0,90,20,9
CC_0199,Normal,Normal_obj_1013913111840760766_1013913111840760766.json,30,5,30,10,17,7,15.0,9.0,,,
CC_0129,Normal,Normal_obj_290478911730800373_290478911730800373.json,30,5,30,10,17,7,15.0,9.0,1,28,19
CC_0133,Normal,Normal_obj_4533743168158959430_4533743168158959430.json,29,5,29,10,17,7,14.5,9.0,74,11,1
CC_0127,Normal,Normal_obj_-4896860215059842360_-4896860215059842360.json,28,5,28,10,16,6,14.0,9.0,75,10,4
CC_0052,Normal,Normal_obj_6115397501473313561_6115397501473313561.json,28,5,28,10,16,6,14.0,9.0,84,15,16
CC_0202,Normal,Normal_obj_3156347889945336561_3156347889945336561.json,31,5,31,12,18,6,12.916666666666666,9.0,,,
CC_0050,Normal,Normal_obj_5840205091478623467_5840205091478623467.json,28,4,28,8,13,5,14.0,9.0,,,
CC_0135,Normal,Normal_obj_6590097658921723082_6590097658921723082.json,30,4,30,9,14,5,13.333333333333334,9.0,64,5,7
CC_0132,Normal,Normal_obj_4529999507329059760_4529999507329059760.json,30,5,30,12,17,5,12.5,9.0,,,
CC_0121,Normal,Normal_obj_-949791933841341856_-949791933841341856.json,27,4,27,8,12,4,13.5,9.0,74,7,6
CC_0054,Normal,Normal_obj_8531102714590821791_8531102714590821791.json,31,4,31,10,14,4,12.4,9.0,78,8,1
CC_0209,Normal,Normal_obj_6352701654334186823_6352701654334186823.json,30,4,30,10,14,4,12.0,9.0,,,
CC_0045,Normal,Normal_obj_3769052602463786627_3769052602463786627.json,28,5,28,12,16,4,11.666666666666666,9.0,,,
CC_0193,Normal,Normal_obj_-1697080081793459829_-1697080081793459829.json,28,6,28,15,19,4,11.2,9.0,,,
CC_0197,Normal,Normal_obj_-6094004898048360566_-6094004898048360566.json,28,4,28,10,13,3,11.2,9.0,,,
CC_0211,Normal,Normal_obj_7084936358921540177_7084936358921540177.json,28,6,28,16,19,3,10.5,9.0,,,
CC_0043,Normal,Normal_obj_738882395438707847_738882395438707847.json,29,4,29,11,13,2,10.545454545454545,9.0,81,30,21
CC_0037,Normal,Normal_obj_-130971407812354464_-130971407812354464.json,27,6,27,16,18,2,10.125,9.0,95,14,33
CC_0253,Hard,Hard_obj_-4367956446511700689_-4367956446511700689.json,29,9,29,10,22,12,26.1,12.4,,,
CC_0273,Hard,Hard_obj_2519617144431508815_2519617144431508815.json,30,8,30,10,20,10,24.0,12.4,,,
CC_0263,Hard,Hard_obj_-6858756943211057750_-6858756943211057750.json,31,7,31,10,18,8,21.7,12.4,,,
CC_0275,Hard,Hard_obj_3015781939616589612_3015781939616589612.json,30,7,30,10,17,7,21.0,12.4,,,
CC_0255,Hard,Hard_obj_-4930359017288338014_-4930359017288338014.json,30,7,30,10,17,7,21.0,12.4,,,
CC_0187,Hard,Hard_obj_-4717586371069404904_-4717586371069404904.json,29,6,29,9,15,6,19.333333333333332,12.4,76,11,1
CC_0258,Hard,Hard_obj_-5936488566595491839_-5936488566595491839.json,30,7,30,11,17,6,19.09090909090909,12.4,,,
CC_0277,Hard,Hard_obj_3583963274032080926_3583963274032080926.json,31,6,31,10,15,5,18.6,12.4,,,
CC_0266,Hard,Hard_obj_-8085993676552886899_-8085993676552886899.json,31,6,31,10,15,5,18.6,12.4,,,
CC_0250,Hard,Hard_obj_-2535467368716262032_-2535467368716262032.json,31,6,31,10,15,5,18.6,12.4,,,
CC_0274,Hard,Hard_obj_2614617043532549192_2614617043532549192.json,31,6,31,10,15,5,18.6,12.4,,,
CC_0269,Hard,Hard_obj_269226819039724544_269226819039724544.json,31,6,31,10,15,5,18.6,12.4,,,
CC_0271,Hard,Hard_obj_2136597098790465194_2136597098790465194.json,30,6,30,10,15,5,18.0,12.4,,,
CC_0279,Hard,Hard_obj_4967511773866997684_4967511773866997684.json,30,7,30,12,17,5,17.5,12.4,,,
CC_0113,Hard,Hard_obj_-1971797449831386605_-1971797449831386605.json,28,8,28,14,19,5,16.0,12.4,,,
CC_0035,Hard,Hard_obj_-8120975917250142898_-8120975917250142898.json,28,9,28,16,21,5,15.75,12.4,95,6,7
CC_0280,Hard,Hard_obj_5692771625035672355_5692771625035672355.json,31,6,31,11,15,4,16.90909090909091,12.4,,,
CC_0246,Hard,Hard_obj_-476816179683867428_-476816179683867428.json,30,6,30,11,15,4,16.363636363636363,12.4,,,
CC_0034,Hard,Hard_obj_-3856468907512424979_-3856468907512424979.json,28,7,28,12,16,4,16.333333333333332,12.4,89,24,4
CC_0288,Hard,Hard_obj_7749217512935342267_7749217512935342267.json,30,7,30,13,17,4,16.153846153846153,12.4,,,
CC_0192,Hard,Hard_obj_6427872015658360888_6427872015658360888.json,29,7,29,13,17,4,15.615384615384615,12.4,,,
CC_0284,Hard,Hard_obj_7150741962077567140_7150741962077567140.json,32,5,32,10,13,3,16.0,12.4,,,
CC_0292,Hard,Hard_obj_9123945858537713509_9123945858537713509.json,32,5,32,10,13,3,16.0,12.4,,,
CC_0252,Hard,Hard_obj_-4085239007266526198_-4085239007266526198.json,32,5,32,10,13,3,16.0,12.4,,,
CC_0267,Hard,Hard_obj_-8581124268425051125_-8581124268425051125.json,32,5,32,10,13,3,16.0,12.4,,,
CC_0264,Hard,Hard_obj_-7292222822313839875_-7292222822313839875.json,32,5,32,10,13,3,16.0,12.4,,,
CC_0254,Hard,Hard_obj_-4476877194344761137_-4476877194344761137.json,32,5,32,10,13,3,16.0,12.4,,,
CC_0190,Hard,Hard_obj_3899271523029084104_3899271523029084104.json,32,5,32,10,13,3,16.0,12.4,,,
CC_0286,Hard,Hard_obj_7629362497685869891_7629362497685869891.json,31,5,31,10,13,3,15.5,12.4,,,
CC_0272,Hard,Hard_obj_2408438036868712511_2408438036868712511.json,31,5,31,10,13,3,15.5,12.4,,,
CC_0261,Hard,Hard_obj_-6775005880827077657_-6775005880827077657.json,30,7,30,14,17,3,15.0,12.4,,,
CC_0245,Hard,Hard_obj_-440283477310521795_-440283477310521795.json,32,5,32,11,13,2,14.545454545454545,12.4,,,
CC_0117,Hard,Hard_obj_4711607199540660698_4711607199540660698.json,33,6,33,14,16,2,14.142857142857142,12.4,73,7,14
