stage_id,tier,fn,deck,suggested_deck,suggested_delta,full_delta,needed_deck,confidence,field,max_depth,exposed_init,avg_frontier,btl,exp_ratio,frontier_ratio,clear_a,clear_b,clear_c,clear_count
CC_0252,Hard,Hard_obj_-4085239007266526198_-4085239007266526198.json,10,13,3,3,13,MEDIUM,32,5,10,6.19,16.0,0.312,1.24,,,,8
CC_0157,VeryEasy,VeryEasy_obj_5725686889629278630_5725686889629278630.json,10,18,8,8,18,HIGH,18,6,5,4.06,10.8,0.278,0.68,,,,6
CC_0066,VeryEasy,VeryEasy_obj_-5421982700066424561_-5421982700066424561.json,9,17,8,10,19,MEDIUM,20,6,10,5.35,13.33,0.5,0.89,,,,8
CC_0083,VeryEasy,VeryEasy_obj_8246439891182557695_8246439891182557695.json,11,16,5,5,16,HIGH,20,5,5,4.1,9.09,0.25,0.82,,,,8
CC_0146,VeryEasy,VeryEasy_obj_-6691285707872859643_-6691285707872859643.json,9,14,5,5,14,HIGH,21,4,5,3.86,9.33,0.238,0.96,2,17,19,6
CC_0275,Hard,Hard_obj_3015781939616589612_3015781939616589612.json,10,17,7,7,17,HIGH,30,7,4,3.43,21.0,0.133,0.49,,,,8
CC_0271,Hard,Hard_obj_2136597098790465194_2136597098790465194.json,10,15,5,5,15,HIGH,30,6,5,3.53,18.0,0.167,0.59,,,,6
CC_0062,VeryEasy,VeryEasy_obj_-3575373209298258023_-3575373209298258023.json,11,16,5,5,16,HIGH,20,5,6,4.25,9.09,0.3,0.85,,,,4
CC_0267,Hard,Hard_obj_-8581124268425051125_-8581124268425051125.json,10,13,3,3,13,HIGH,32,5,4,2.94,16.0,0.125,0.59,,,,8
CC_0266,Hard,Hard_obj_-8085993676552886899_-8085993676552886899.json,10,15,5,5,15,HIGH,31,6,8,4.23,18.6,0.258,0.7,,,,5
CC_0149,VeryEasy,VeryEasy_obj_1059250483029686343_1059250483029686343.json,11,16,5,5,16,HIGH,20,5,4,2.55,9.09,0.2,0.51,77,33,34,6
CC_0250,Hard,Hard_obj_-2535467368716262032_-2535467368716262032.json,10,15,5,5,15,HIGH,31,6,5,4.19,18.6,0.161,0.7,,,,6
CC_0184,Easy,Easy_obj_6125248256196065824_6125248256196065824.json,9,13,4,5,14,MEDIUM,26,4,7,4.62,11.56,0.269,1.15,70,30,29,6
CC_0045,Normal,Normal_obj_3769052602463786627_3769052602463786627.json,12,16,4,4,16,HIGH,28,5,8,3.79,11.67,0.286,0.76,,,,8
CC_0043,Normal,Normal_obj_738882395438707847_738882395438707847.json,11,13,2,2,13,MEDIUM,29,4,8,4.83,10.55,0.276,1.21,81,30,21,7
CC_0243,VeryEasy,VeryEasy_obj_8758547653190156292_8758547653190156292.json,11,14,3,3,14,HIGH,21,4,3,2.9,7.64,0.143,0.73,,,,6
CC_0166,Easy,Easy_obj_-1911471411139201695_-1911471411139201695.json,10,21,11,11,21,HIGH,26,6,6,4.15,15.6,0.231,0.69,78,12,11,6
CC_0017,Easy,Easy_obj_-9170708446745828065_-9170708446745828065.json,5,10,5,5,10,HIGH,25,3,11,5.48,15.0,0.44,1.83,7,0,6,4
CC_0242,VeryEasy,VeryEasy_obj_8554537005776796579_8554537005776796579.json,6,12,6,6,12,HIGH,18,4,7,3.83,12.0,0.389,0.96,,,,4
CC_0069,VeryEasy,VeryEasy_obj_-8696186041147435442_-8696186041147435442.json,10,13,3,3,13,MEDIUM,20,4,7,4.6,8.0,0.35,1.15,80,31,8,6
CC_0274,Hard,Hard_obj_2614617043532549192_2614617043532549192.json,10,15,5,5,15,HIGH,31,6,6,3.48,18.6,0.194,0.58,,,,6
CC_0144,VeryEasy,VeryEasy_obj_-5948220406407893431_-5948220406407893431.json,12,16,4,4,16,HIGH,20,5,8,4.65,8.33,0.4,0.93,10,61,30,6
CC_0176,Easy,Easy_obj_463766349787096359_463766349787096359.json,8,12,4,4,12,HIGH,29,3,7,4.31,10.88,0.241,1.44,21,25,27,4
CC_0173,Easy,Easy_obj_-9034849251228621764_-9034849251228621764.json,12,18,6,7,19,MEDIUM,20,7,6,3.95,11.67,0.3,0.56,82,32,27,8
CC_0171,Easy,Easy_obj_-8228455277662928550_-8228455277662928550.json,7,15,8,8,15,HIGH,22,5,8,4.86,15.71,0.364,0.97,62,29,26,4
CC_0182,Easy,Easy_obj_5582524774713652387_5582524774713652387.json,10,15,5,5,15,HIGH,28,4,6,3.64,11.2,0.214,0.91,76,9,1,6
CC_0170,Easy,Easy_obj_-7982215790531385497_-7982215790531385497.json,7,9,2,3,10,LOW,24,3,10,5.83,10.29,0.417,1.94,55,18,17,5
CC_0012,Easy,Easy_obj_-5161379865128801438_-5161379865128801438.json,13,17,4,5,18,MEDIUM,26,5,6,3.92,10.0,0.231,0.78,93,24,13,8
CC_0225,VeryEasy,VeryEasy_obj_-7719398892021535332_-7719398892021535332.json,10,15,5,5,15,HIGH,18,5,5,2.44,9.0,0.278,0.49,,,,6
CC_0215,VeryEasy,VeryEasy_obj_-1276326755563476544_-1276326755563476544.json,10,12,2,3,13,LOW,20,4,10,6.6,8.0,0.5,1.65,,,,6
CC_0090,Easy,Easy_obj_-3890466614938630821_-3890466614938630821.json,8,14,6,6,14,HIGH,25,4,6,3.64,12.5,0.24,0.91,68,8,8,4
CC_0091,Easy,Easy_obj_-4112116539429186425_-4112116539429186425.json,16,23,7,7,23,HIGH,21,8,3,3.57,10.5,0.143,0.45,,,,8
CC_0089,Easy,Easy_obj_-2276062446783637185_-2276062446783637185.json,8,11,3,3,11,MEDIUM,27,3,5,3.74,10.12,0.185,1.25,,,,4
CC_0142,VeryEasy,VeryEasy_obj_-3228993952559680366_-3228993952559680366.json,10,16,6,6,16,HIGH,20,5,4,2.85,10.0,0.2,0.57,,,,5
CC_0209,Normal,Normal_obj_6352701654334186823_6352701654334186823.json,10,13,3,4,14,MEDIUM,30,4,9,5.07,12.0,0.3,1.27,,,,6
CC_0152,VeryEasy,VeryEasy_obj_2214669136406969930_2214669136406969930.json,10,16,6,6,16,HIGH,20,5,6,3.85,10.0,0.3,0.77,,,,6
CC_0240,VeryEasy,VeryEasy_obj_8227147783332148297_8227147783332148297.json,8,11,3,3,11,MEDIUM,22,3,8,4.77,8.25,0.364,1.59,,,,5
CC_0124,Normal,Normal_obj_-1823325553753902879_-1823325553753902879.json,10,18,8,10,20,MEDIUM,29,6,9,4.52,17.4,0.31,0.75,83,12,11,6
CC_0211,Normal,Normal_obj_7084936358921540177_7084936358921540177.json,16,19,3,3,19,HIGH,28,6,8,5.21,10.5,0.286,0.87,,,,6
CC_0216,VeryEasy,VeryEasy_obj_-2833457327188849690_-2833457327188849690.json,10,12,2,3,13,LOW,19,4,9,4.95,7.6,0.474,1.24,,,,6
CC_0264,Hard,Hard_obj_-7292222822313839875_-7292222822313839875.json,10,13,3,3,13,HIGH,32,5,6,4.56,16.0,0.188,0.91,,,,5
CC_0263,Hard,Hard_obj_-6858756943211057750_-6858756943211057750.json,10,18,8,8,18,HIGH,31,7,6,3.32,21.7,0.194,0.47,,,,6
CC_0255,Hard,Hard_obj_-4930359017288338014_-4930359017288338014.json,10,17,7,7,17,HIGH,30,7,4,4.4,21.0,0.133,0.63,,,,8
CC_0254,Hard,Hard_obj_-4476877194344761137_-4476877194344761137.json,10,13,3,3,13,MEDIUM,32,5,8,5.12,16.0,0.25,1.02,,,,8
CC_0102,Easy,Easy_obj_52113043959410109_52113043959410109.json,11,16,5,5,16,HIGH,24,5,9,4.21,10.91,0.375,0.84,,,,6
CC_0063,VeryEasy,VeryEasy_obj_-4155513570435425491_-4155513570435425491.json,10,13,3,3,13,HIGH,20,4,6,3.8,8.0,0.3,0.95,,,,6
CC_0095,Easy,Easy_obj_-6047974373355539936_-6047974373355539936.json,10,13,3,4,14,MEDIUM,26,4,9,5.15,10.4,0.346,1.29,,,,8
CC_0044,Normal,Normal_obj_1831427186976436287_1831427186976436287.json,8,13,5,9,17,LOW,30,5,14,10.5,18.75,0.467,2.1,74,66,26,4
CC_0060,VeryEasy,VeryEasy_obj_-3497900895194738745_-3497900895194738745.json,17,29,12,12,29,HIGH,26,7,5,3.77,10.71,0.192,0.54,,,,6
CC_0143,VeryEasy,VeryEasy_obj_-5160501193721807590_-5160501193721807590.json,10,15,5,6,16,MEDIUM,20,5,3,2.35,10.0,0.15,0.47,96,14,17,6
CC_0041,Normal,Normal_obj_-4992867742494819935_-4992867742494819935.json,13,19,6,8,21,MEDIUM,27,7,8,3.33,14.54,0.296,0.48,90,20,9,8
CC_0074,VeryEasy,VeryEasy_obj_2406463454516795606_2406463454516795606.json,15,19,4,4,19,HIGH,19,6,6,2.68,7.6,0.316,0.45,,,,10
CC_0164,VeryEasy,VeryEasy_obj_9170902172408887236_9170902172408887236.json,7,10,3,3,10,MEDIUM,19,3,6,3.84,8.14,0.316,1.28,71,12,11,5
CC_0137,Normal,Normal_obj_9109329256775260811_9109329256775260811.json,10,22,12,12,22,HIGH,28,7,5,3.75,19.6,0.179,0.54,,,,6
CC_0218,VeryEasy,VeryEasy_obj_-4001980453628435627_-4001980453628435627.json,11,19,8,8,19,HIGH,20,6,3,3.0,10.91,0.15,0.5,,,,7
CC_0160,VeryEasy,VeryEasy_obj_6192741706486804959_6192741706486804959.json,10,13,3,3,13,MEDIUM,20,4,6,4.35,8.0,0.3,1.09,81,19,16,
CC_0136,Normal,Normal_obj_9005262734481547871_9005262734481547871.json,13,26,13,13,26,HIGH,26,9,5,3.73,18.0,0.192,0.41,0,32,19,8
CC_0192,Hard,Hard_obj_6427872015658360888_6427872015658360888.json,13,17,4,4,17,HIGH,29,7,6,3.86,15.62,0.207,0.55,,,,6
CC_0190,Hard,Hard_obj_3899271523029084104_3899271523029084104.json,10,13,3,3,13,MEDIUM,32,5,11,6.44,16.0,0.344,1.29,,,,8
CC_0009,Easy,Easy_obj_-3819987064685043330_-3819987064685043330.json,12,18,6,6,18,HIGH,26,5,8,5.5,10.83,0.308,1.1,0,75,43,6
CC_0037,Normal,Normal_obj_-130971407812354464_-130971407812354464.json,16,18,2,2,18,MEDIUM,27,6,7,3.89,10.12,0.259,0.65,95,14,33,8
CC_0272,Hard,Hard_obj_2408438036868712511_2408438036868712511.json,10,13,3,3,13,HIGH,31,5,5,3.06,15.5,0.161,0.61,,,,6
CC_0273,Hard,Hard_obj_2519617144431508815_2519617144431508815.json,10,20,10,10,20,HIGH,30,8,6,4.77,24.0,0.2,0.6,,,,8
CC_0269,Hard,Hard_obj_269226819039724544_269226819039724544.json,10,15,5,5,15,HIGH,31,6,7,3.74,18.6,0.226,0.62,,,,6
CC_0127,Normal,Normal_obj_-4896860215059842360_-4896860215059842360.json,10,15,5,6,16,MEDIUM,28,5,8,5.64,14.0,0.286,1.13,75,10,4,8
CC_0187,Hard,Hard_obj_-4717586371069404904_-4717586371069404904.json,9,15,6,6,15,HIGH,29,6,9,5.07,19.33,0.31,0.84,76,11,1,7
CC_0001,Easy,Easy_obj_-3647190157396289_-3647190157396289.json,12,18,6,7,19,MEDIUM,23,6,5,2.87,11.5,0.217,0.48,87,24,21,6
CC_0052,Normal,Normal_obj_6115397501473313561_6115397501473313561.json,10,15,5,6,16,MEDIUM,28,5,9,4.96,14.0,0.321,0.99,84,15,16,6
CC_0034,Hard,Hard_obj_-3856468907512424979_-3856468907512424979.json,12,15,3,4,16,MEDIUM,28,7,8,4.68,16.33,0.286,0.67,89,24,4,6
CC_0121,Normal,Normal_obj_-949791933841341856_-949791933841341856.json,8,11,3,4,12,MEDIUM,27,4,8,4.3,13.5,0.296,1.07,74,7,6,5
CC_0206,Normal,Normal_obj_5370209783260445704_5370209783260445704.json,8,27,19,19,27,HIGH,27,9,7,3.63,30.38,0.259,0.4,,,,5
