id,is_a2u_enabled,is_bot_enabled,a2u_alt_title,a2u_alt_body,a2u_alt_image_id,a2u_alt_payload,element_ids,parent_message_id,countries,languages
blockmaster:new-friend:en:t19,TRUE,TRUE,,Team up and dominate!,,,,,,"[""en""]"
blockmaster:new-friend:en:t20,TRUE,TRUE,,Friend challenge unlocked!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t1,TRUE,TRUE,,Your Lucky Chest is here! Come get it!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t2,TRUE,TRUE,,Hop back in! Lucky Chest waiting for you!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t3,TRUE,TRUE,,Lucky Chest ready! Come grab your reward!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t4,TRUE,TRUE,,Time to play! Your Lucky Chest is unlocked!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t5,TRUE,TRUE,,Come back! Lucky treasures await!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t6,TRUE,TRUE,,Your Lucky Chest is full! Hop in now!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t7,TRUE,TRUE,,Lucky Chest alert! Come collect your goodies!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t8,TRUE,TRUE,,Hop back and open your Lucky Chest!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t9,TRUE,TRUE,,Your reward is ready! Come back and play!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t10,TRUE,TRUE,,Lucky Chest unlocked! Come see what's inside!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t11,TRUE,TRUE,,Come back for your lucky surprise!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t12,TRUE,TRUE,,Your Lucky Chest won't wait! Hop in!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t13,TRUE,TRUE,,Something lucky is waiting! Come play!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t14,TRUE,TRUE,,Grab your Lucky Chest before it's gone!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t15,TRUE,TRUE,,Lucky rewards ready! Come back now!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t16,TRUE,TRUE,,Your Lucky Chest is bursting! Come play!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t17,TRUE,TRUE,,Hop in! Your Lucky Chest needs opening!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t18,TRUE,TRUE,,Come back! Lucky goodies are waiting!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t19,TRUE,TRUE,,Lucky Chest time! Jump back in!,,,,,,"[""en""]"
blockmaster:lucky-chest:en:t20,TRUE,TRUE,,Your lucky reward is here! Come play!,,,,,,"[""en""]"
blockmaster:daily:ar:t1,TRUE,TRUE,,عُد والعب اليوم!,,,,,,"[""ar""]"
blockmaster:daily:ar:t2,TRUE,TRUE,,الكتل بانتظارك!,,,,,,"[""ar""]"
blockmaster:daily:ar:t3,TRUE,TRUE,,جاهز لتحدي اليوم؟,,,,,,"[""ar""]"
blockmaster:daily:ar:t4,TRUE,TRUE,,تحقق من ترتيبك اليومي!,,,,,,"[""ar""]"
blockmaster:daily:ar:t5,TRUE,TRUE,,افتقدناك بالأمس!,,,,,,"[""ar""]"
blockmaster:daily:ar:t6,TRUE,TRUE,,وقت المرح مع الكتل!,,,,,,"[""ar""]"
blockmaster:daily:ar:t7,TRUE,TRUE,,مكافآتك اليومية بانتظارك!,,,,,,"[""ar""]"
blockmaster:daily:ar:t8,TRUE,TRUE,,لنحطم بعض الكتل!,,,,,,"[""ar""]"
blockmaster:daily:ar:t9,TRUE,TRUE,,لغز اليوم جاهز!,,,,,,"[""ar""]"
blockmaster:daily:ar:t10,TRUE,TRUE,,لا تفوت مكافأة اليوم!,,,,,,"[""ar""]"
blockmaster:daily:ar:t11,TRUE,TRUE,,دورك لتتألق!,,,,,,"[""ar""]"
blockmaster:daily:ar:t12,TRUE,TRUE,,كتل جديدة، متعة جديدة!,,,,,,"[""ar""]"
blockmaster:daily:ar:t13,TRUE,TRUE,,التحدي اليومي مفتوح!,,,,,,"[""ar""]"
blockmaster:daily:ar:t14,TRUE,TRUE,,تعال العب معنا!,,,,,,"[""ar""]"
blockmaster:daily:ar:t15,TRUE,TRUE,,مستواك اليوم بانتظارك!,,,,,,"[""ar""]"
blockmaster:daily:ar:t16,TRUE,TRUE,,حفلة الكتل تبدأ الآن!,,,,,,"[""ar""]"
blockmaster:daily:ar:t17,TRUE,TRUE,,جرعتك اليومية من المرح!,,,,,,"[""ar""]"
blockmaster:daily:ar:t18,TRUE,TRUE,,مستعد للترقية؟,,,,,,"[""ar""]"
blockmaster:daily:ar:t19,TRUE,TRUE,,يوم جديد، كتل جديدة!,,,,,,"[""ar""]"
blockmaster:daily:ar:t20,TRUE,TRUE,,لنصنع يوماً رائعاً!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t1,TRUE,TRUE,,صديقك انضم الآن!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t2,TRUE,TRUE,,حان وقت اللعب معاً!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t3,TRUE,TRUE,,تحدَّ صديقك الآن!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t4,TRUE,TRUE,,صديقك هنا!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t5,TRUE,TRUE,,المتعة المضاعفة بانتظارك!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t6,TRUE,TRUE,,وضع الصديق تم فتحه!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t7,TRUE,TRUE,,لنلعب كفريق!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t8,TRUE,TRUE,,صديقك يريد اللعب!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t9,TRUE,TRUE,,تم تفعيل مستوى الصداقة!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t10,TRUE,TRUE,,لاعبان، متعة مضاعفة!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t11,TRUE,TRUE,,صديقك قبل التحدي!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t12,TRUE,TRUE,,رفيق اللعب وصل!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t13,TRUE,TRUE,,وضع صديق ضد صديق مفعل!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t14,TRUE,TRUE,,العبوا معًا الآن!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t15,TRUE,TRUE,,صديقك جاهز!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t16,TRUE,TRUE,,التحدي الثنائي يبدأ!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t17,TRUE,TRUE,,الأصدقاء يلعبون أفضل معًا!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t18,TRUE,TRUE,,شريكك انضم للعبة!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t19,TRUE,TRUE,,شكّل فريقًا وسيطر!,,,,,,"[""ar""]"
blockmaster:new-friend:ar:t20,TRUE,TRUE,,تم فتح تحدي الأصدقاء!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t1,TRUE,TRUE,,صندوقك المحظوظ هنا! تعال واحصل عليه!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t2,TRUE,TRUE,,ارجع للعبة! الصندوق المحظوظ ينتظرك!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t3,TRUE,TRUE,,الصندوق المحظوظ جاهز! تعال واحصل على مكافأتك!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t4,TRUE,TRUE,,حان وقت اللعب! صندوقك المحظوظ مفتوح!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t5,TRUE,TRUE,,عد للعبة! كنوز محظوظة بانتظارك!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t6,TRUE,TRUE,,صندوقك المحظوظ ممتلئ! ادخل الآن!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t7,TRUE,TRUE,,تنبيه الصندوق المحظوظ! تعال واجمع هداياك!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t8,TRUE,TRUE,,ارجع وافتح صندوقك المحظوظ!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t9,TRUE,TRUE,,مكافأتك جاهزة! عد والعب!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t10,TRUE,TRUE,,الصندوق المحظوظ مفتوح! تعال وشاهد ما بداخله!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t11,TRUE,TRUE,,عد لتحصل على مفاجأتك المحظوظة!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t12,TRUE,TRUE,,صندوقك المحظوظ لن ينتظر! ادخل بسرعة!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t13,TRUE,TRUE,,شيء محظوظ ينتظرك! تعال والعب!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t14,TRUE,TRUE,,احصل على صندوقك المحظوظ قبل فوات الأوان!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t15,TRUE,TRUE,,مكافآت محظوظة جاهزة! عد الآن!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t16,TRUE,TRUE,,صندوقك المحظوظ يفيض! تعال والعب!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t17,TRUE,TRUE,,ادخل! صندوقك المحظوظ يحتاج للفتح!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t18,TRUE,TRUE,,عد للعبة! هدايا محظوظة تنتظرك!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t19,TRUE,TRUE,,وقت الصندوق المحظوظ! اقفز للعبة!,,,,,,"[""ar""]"
blockmaster:lucky-chest:ar:t20,TRUE,TRUE,,مكافأتك المحظوظة هنا! تعال والعب!,,,,,,"[""ar""]"
blockmaster:daily:es:t1,TRUE,TRUE,,¡Vuelve a jugar hoy!,,,,,,"[""es""]"
blockmaster:daily:es:t2,TRUE,TRUE,,¡Tus bloques te esperan!,,,,,,"[""es""]"
blockmaster:daily:es:t3,TRUE,TRUE,,¿Listo para el desafío?,,,,,,"[""es""]"
blockmaster:daily:es:t4,TRUE,TRUE,,¡Revisa tu nivel diario!,,,,,,"[""es""]"
blockmaster:daily:es:t5,TRUE,TRUE,,¡Te extrañamos ayer!,,,,,,"[""es""]"
blockmaster:daily:es:t6,TRUE,TRUE,,¡Hora de diversión con bloques!,,,,,,"[""es""]"
blockmaster:daily:es:t7,TRUE,TRUE,,¡Tus recompensas te esperan!,,,,,,"[""es""]"
blockmaster:daily:es:t8,TRUE,TRUE,,¡A romper bloques!,,,,,,"[""es""]"
blockmaster:daily:es:t9,TRUE,TRUE,,¡El rompecabezas está listo!,,,,,,"[""es""]"
blockmaster:daily:es:t10,TRUE,TRUE,,¡No te pierdas el bono!,,,,,,"[""es""]"
blockmaster:daily:es:t11,TRUE,TRUE,,¡Es tu momento de brillar!,,,,,,"[""es""]"
blockmaster:daily:es:t12,TRUE,TRUE,,"¡Nuevos bloques, nueva diversión!",,,,,,"[""es""]"
blockmaster:daily:es:t13,TRUE,TRUE,,¡Desafío diario desbloqueado!,,,,,,"[""es""]"
blockmaster:daily:es:t14,TRUE,TRUE,,¡Ven a jugar con nosotros!,,,,,,"[""es""]"
blockmaster:daily:es:t15,TRUE,TRUE,,¡Tu nivel de hoy te espera!,,,,,,"[""es""]"
blockmaster:daily:es:t16,TRUE,TRUE,,¡Fiesta de bloques ya!,,,,,,"[""es""]"
blockmaster:daily:es:t17,TRUE,TRUE,,¡Tu dosis diaria de diversión!,,,,,,"[""es""]"
blockmaster:daily:es:t18,TRUE,TRUE,,¿Listo para subir de nivel?,,,,,,"[""es""]"
blockmaster:daily:es:t19,TRUE,TRUE,,"¡Nuevo día, nuevos bloques!",,,,,,"[""es""]"
blockmaster:daily:es:t20,TRUE,TRUE,,¡Hagamos de hoy algo épico!,,,,,,"[""es""]"
blockmaster:new-friend:es:t1,TRUE,TRUE,,¡Tu amigo se acaba de unir!,,,,,,"[""es""]"
blockmaster:new-friend:es:t2,TRUE,TRUE,,¡Hora de jugar juntos!,,,,,,"[""es""]"
blockmaster:new-friend:es:t3,TRUE,TRUE,,¡Desafía a tu amigo ya!,,,,,,"[""es""]"
blockmaster:new-friend:es:t4,TRUE,TRUE,,¡Tu compañero está aquí!,,,,,,"[""es""]"
blockmaster:new-friend:es:t5,TRUE,TRUE,,¡Diversión doble te espera!,,,,,,"[""es""]"
blockmaster:new-friend:es:t6,TRUE,TRUE,,¡Modo amigo desbloqueado!,,,,,,"[""es""]"
blockmaster:new-friend:es:t7,TRUE,TRUE,,¡Juguemos en equipo!,,,,,,"[""es""]"
blockmaster:new-friend:es:t8,TRUE,TRUE,,¡Tu amigo quiere jugar!,,,,,,"[""es""]"
blockmaster:new-friend:es:t9,TRUE,TRUE,,¡Nivel de amistad activado!,,,,,,"[""es""]"
blockmaster:new-friend:es:t10,TRUE,TRUE,,"¡Dos jugadores, doble diversión!",,,,,,"[""es""]"
blockmaster:new-friend:es:t11,TRUE,TRUE,,¡Tu amigo aceptó el reto!,,,,,,"[""es""]"
blockmaster:new-friend:es:t12,TRUE,TRUE,,¡Tu compañero de juego llegó!,,,,,,"[""es""]"
blockmaster:new-friend:es:t13,TRUE,TRUE,,¡Modo amigo vs amigo activado!,,,,,,"[""es""]"
blockmaster:new-friend:es:t14,TRUE,TRUE,,¡Jueguen juntos ya!,,,,,,"[""es""]"
blockmaster:new-friend:es:t15,TRUE,TRUE,,¡Tu amigo está listo!,,,,,,"[""es""]"
blockmaster:new-friend:es:t16,TRUE,TRUE,,¡Comienza el desafío en dúo!,,,,,,"[""es""]"
blockmaster:new-friend:es:t17,TRUE,TRUE,,¡Los amigos juegan mejor juntos!,,,,,,"[""es""]"
blockmaster:new-friend:es:t18,TRUE,TRUE,,¡Tu compañero se unió al juego!,,,,,,"[""es""]"
blockmaster:new-friend:es:t19,TRUE,TRUE,,¡Forma equipo y domina!,,,,,,"[""es""]"
blockmaster:new-friend:es:t20,TRUE,TRUE,,¡Desafío de amigos desbloqueado!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t1,TRUE,TRUE,,¡Tu Cofre de la Suerte está aquí! ¡Ven a por él!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t2,TRUE,TRUE,,¡Vuelve al juego! ¡El Cofre de la Suerte te espera!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t3,TRUE,TRUE,,¡Cofre de la Suerte listo! ¡Ven a recoger tu recompensa!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t4,TRUE,TRUE,,¡Hora de jugar! ¡Tu Cofre de la Suerte está desbloqueado!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t5,TRUE,TRUE,,¡Regresa! ¡Tesoros afortunados te esperan!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t6,TRUE,TRUE,,¡Tu Cofre de la Suerte está lleno! ¡Entra ahora!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t7,TRUE,TRUE,,¡Alerta de Cofre de la Suerte! ¡Ven a recoger tus premios!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t8,TRUE,TRUE,,¡Vuelve y abre tu Cofre de la Suerte!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t9,TRUE,TRUE,,¡Tu recompensa está lista! ¡Regresa y juega!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t10,TRUE,TRUE,,¡Cofre de la Suerte desbloqueado! ¡Ven a ver qué hay dentro!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t11,TRUE,TRUE,,¡Regresa por tu sorpresa afortunada!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t12,TRUE,TRUE,,¡Tu Cofre de la Suerte no esperará! ¡Entra rápido!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t13,TRUE,TRUE,,¡Algo afortunado te espera! ¡Ven a jugar!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t14,TRUE,TRUE,,¡Recoge tu Cofre de la Suerte antes de que desaparezca!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t15,TRUE,TRUE,,¡Recompensas afortunadas listas! ¡Regresa ahora!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t16,TRUE,TRUE,,¡Tu Cofre de la Suerte está rebosante! ¡Ven a jugar!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t17,TRUE,TRUE,,¡Entra! ¡Tu Cofre de la Suerte necesita abrirse!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t18,TRUE,TRUE,,¡Regresa! ¡Premios afortunados te esperan!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t19,TRUE,TRUE,,¡Hora del Cofre de la Suerte! ¡Salta al juego!,,,,,,"[""es""]"
blockmaster:lucky-chest:es:t20,TRUE,TRUE,,¡Tu recompensa afortunada está aquí! ¡Ven a jugar!,,,,,,"[""es""]"
blockmaster:daily:pt:t1,TRUE,TRUE,,Volte a jogar hoje!,,,,,,"[""pt""]"
blockmaster:daily:pt:t2,TRUE,TRUE,,Seus blocos estão esperando!,,,,,,"[""pt""]"
blockmaster:daily:pt:t3,TRUE,TRUE,,Pronto para o desafio?,,,,,,"[""pt""]"
blockmaster:daily:pt:t4,TRUE,TRUE,,Veja seu nível diário!,,,,,,"[""pt""]"
blockmaster:daily:pt:t5,TRUE,TRUE,,Sentimos sua falta ontem!,,,,,,"[""pt""]"
blockmaster:daily:pt:t6,TRUE,TRUE,,Hora de diversão com blocos!,,,,,,"[""pt""]"
blockmaster:daily:pt:t7,TRUE,TRUE,,Suas recompensas diárias estão aqui!,,,,,,"[""pt""]"
blockmaster:daily:pt:t8,TRUE,TRUE,,Vamos esmagar blocos!,,,,,,"[""pt""]"
blockmaster:daily:pt:t9,TRUE,TRUE,,O quebra-cabeça de hoje está pronto!,,,,,,"[""pt""]"
blockmaster:daily:pt:t10,TRUE,TRUE,,Não perca o bônus de hoje!,,,,,,"[""pt""]"
blockmaster:daily:pt:t11,TRUE,TRUE,,Sua vez de brilhar!,,,,,,"[""pt""]"
blockmaster:daily:pt:t12,TRUE,TRUE,,"Blocos novos, nova diversão!",,,,,,"[""pt""]"
blockmaster:daily:pt:t13,TRUE,TRUE,,Desafio diário liberado!,,,,,,"[""pt""]"
blockmaster:daily:pt:t14,TRUE,TRUE,,Venha jogar com a gente!,,,,,,"[""pt""]"
blockmaster:daily:pt:t15,TRUE,TRUE,,Seu nível de hoje te espera!,,,,,,"[""pt""]"
blockmaster:daily:pt:t16,TRUE,TRUE,,A festa dos blocos começou!,,,,,,"[""pt""]"
blockmaster:daily:pt:t17,TRUE,TRUE,,Sua dose diária de diversão!,,,,,,"[""pt""]"
blockmaster:daily:pt:t18,TRUE,TRUE,,Pronto para subir de nível?,,,,,,"[""pt""]"
blockmaster:daily:pt:t19,TRUE,TRUE,,"Dia novo, blocos novos!",,,,,,"[""pt""]"
blockmaster:daily:pt:t20,TRUE,TRUE,,Vamos fazer um dia épico!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t1,TRUE,TRUE,,Seu amigo acabou de entrar!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t2,TRUE,TRUE,,Hora de jogar juntos!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t3,TRUE,TRUE,,Desafie seu amigo agora!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t4,TRUE,TRUE,,Seu parceiro chegou!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t5,TRUE,TRUE,,Diversão em dobro te espera!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t6,TRUE,TRUE,,Modo amigo liberado!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t7,TRUE,TRUE,,Vamos jogar em equipe!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t8,TRUE,TRUE,,Seu amigo quer jogar!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t9,TRUE,TRUE,,Nível de amizade ativado!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t10,TRUE,TRUE,,"Dois jogadores, diversão em dobro!",,,,,,"[""pt""]"
blockmaster:new-friend:pt:t11,TRUE,TRUE,,Desafio aceito pelo amigo!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t12,TRUE,TRUE,,Seu parceiro de jogo chegou!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t13,TRUE,TRUE,,Modo amigo vs amigo ativo!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t14,TRUE,TRUE,,Joguem juntos agora!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t15,TRUE,TRUE,,Seu amigo está pronto!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t16,TRUE,TRUE,,Começa o desafio em dupla!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t17,TRUE,TRUE,,Amigos jogam melhor juntos!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t18,TRUE,TRUE,,Seu parceiro entrou no jogo!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t19,TRUE,TRUE,,Formem time e dominem!,,,,,,"[""pt""]"
blockmaster:new-friend:pt:t20,TRUE,TRUE,,Desafio de amigo liberado!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t1,TRUE,TRUE,,Seu Baú da Sorte chegou! Venha pegá-lo!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t2,TRUE,TRUE,,Volte ao jogo! O Baú da Sorte está esperando você!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t3,TRUE,TRUE,,Baú da Sorte pronto! Venha pegar sua recompensa!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t4,TRUE,TRUE,,Hora de jogar! Seu Baú da Sorte está desbloqueado!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t5,TRUE,TRUE,,Volte! Tesouros da sorte aguardam você!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t6,TRUE,TRUE,,Seu Baú da Sorte está cheio! Entre agora!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t7,TRUE,TRUE,,Alerta de Baú da Sorte! Venha coletar seus prêmios!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t8,TRUE,TRUE,,Volte e abra seu Baú da Sorte!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t9,TRUE,TRUE,,Sua recompensa está pronta! Volte e jogue!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t10,TRUE,TRUE,,Baú da Sorte desbloqueado! Venha ver o que tem dentro!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t11,TRUE,TRUE,,Volte para sua surpresa da sorte!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t12,TRUE,TRUE,,Seu Baú da Sorte não vai esperar! Entre rápido!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t13,TRUE,TRUE,,Algo sortudo está esperando! Venha jogar!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t14,TRUE,TRUE,,Pegue seu Baú da Sorte antes que acabe!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t15,TRUE,TRUE,,Recompensas da sorte prontas! Volte agora!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t16,TRUE,TRUE,,Seu Baú da Sorte está transbordando! Venha jogar!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t17,TRUE,TRUE,,Entre! Seu Baú da Sorte precisa ser aberto!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t18,TRUE,TRUE,,Volte! Prêmios da sorte estão esperando!,,,,,,"[""pt""]"
blockmaster:lucky-chest:pt:t19,TRUE,TRUE,,Hora do Baú da Sorte! Pule no jogo!,,,,,,"[""pt""]"
