적용,확정,Event,기록시점,Data 요약,Sample Data
FALSE,TRUE,2114_TUTO_PRE_LEVEL_POPUP,Lv2 클리어 후 프리레벨 팝업 UI 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230005"",""level"":""2""}"
FALSE,TRUE,2115_TUTO_IDLE_GOLD,Lv4 클리어 후 방치골드 해금+수령 강제 노출 시,"가이드키, 레벨","{""guide_key"":""230006"",""level"":""4""}"
FALSE,TRUE,2116_TUTO_PLUS_CARD,Lv4 인게임 플러스카드 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230007"",""level"":""4""}"
FALSE,TRUE,2117_TUTO_IDLE_GOLD_COLLECT,Lv4 방치골드 수령 터치 유도 노출 시,"가이드키, 레벨","{""guide_key"":""230008"",""level"":""4""}"
FALSE,TRUE,2118_TUTO_DAILY_CHECK,Lv4 클리어 후 출석체크 아이콘 터치 유도 노출 시,"가이드키, 레벨","{""guide_key"":""230009"",""level"":""4""}"
FALSE,TRUE,2119_TUTO_STREAK,Lv5 인게임 스트릭 미터 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230010"",""level"":""5""}"
FALSE,TRUE,2120_TUTO_LEADERBOARD,Lv5 클리어 후 리더보드 터치 유도 노출 시,"가이드키, 레벨","{""guide_key"":""230011"",""level"":""5""}"
FALSE,TRUE,2121_TUTO_COLLECTION,Lv6 클리어 후 콜렉션 해금+터치 유도 노출 시,"가이드키, 레벨","{""guide_key"":""230012"",""level"":""6""}"
FALSE,TRUE,2122_TUTO_BOOSTER_UNDO,Lv7 Undo 부스터 해금 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230013"",""level"":""7""}"
FALSE,TRUE,2123_TUTO_BOOSTER_FIREWORKS,Lv7 Fireworks 부스터 해금 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230014"",""level"":""7""}"
FALSE,TRUE,2124_TUTO_BOOSTER_WILDCARD,Lv7 Wild Card 부스터 해금 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230015"",""level"":""7""}"
FALSE,TRUE,2125_TUTO_BOOSTER_EXTRADECK,덱 소진+매칭불가 시 Extra Deck 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230016"",""level"":""7""}"
FALSE,TRUE,2126_TUTO_CITY_DECO,Lv8 클리어 후 도시 꾸미기 강제 노출 시,"가이드키, 레벨","{""guide_key"":""230017"",""level"":""8""}"
FALSE,TRUE,2127_TUTO_BETTING_2,Lv9 클리어 후 베팅 x2 해금 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230018"",""level"":""9""}"
FALSE,TRUE,2128_TUTO_DAILY_WHEEL,Lv9 클리어 후 데일리 휠 터치 유도 노출 시,"가이드키, 레벨","{""guide_key"":""230019"",""level"":""9""}"
FALSE,TRUE,2129_TUTO_EVENT_FORCED,Lv12 클리어 후 이벤트 강제 터치 유도 노출 시,"가이드키, 레벨","{""guide_key"":""230020"",""level"":""12""}"
FALSE,TRUE,2130_TUTO_GIMMICK_RUNNER,Lv14 러너카드 기믹 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230021"",""level"":""14""}"
FALSE,TRUE,2131_TUTO_BETTING_4,Lv17 베팅 x4 해금 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230022"",""level"":""17""}"
FALSE,TRUE,2132_TUTO_GIMMICK_LOCK_KEY,Lv19 자물쇠+열쇠 기믹 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230023"",""level"":""19""}"
FALSE,TRUE,2133_TUTO_GIMMICK_ROPE,Lv25 밧줄 기믹 안내 노출 시,"가이드키, 레벨","{""guide_key"":""230024"",""level"":""25""}"
FALSE,TRUE,2134_TUTO_CITY_DECO_REPEAT,해머 보유 시 도시 꾸미기 강제 (반복) 노출 시,"가이드키, 레벨","{""guide_key"":""230026"",""level"":""any""}"
FALSE,TRUE,2135_TUTO_GIMMICK_LOCK_TIP,키락 카드 터치 시 floating 말풍선 (반복) 노출 시,"가이드키, 레벨","{""guide_key"":""230027"",""level"":""any""}"
FALSE,TRUE,2140_TUTO_GRADUATED,"튜토리얼 졸업 시 (Lv8→9 전환)","총 플레이 시간, 총 플레이 횟수, 보유 자원","{""total_time"":""1200"",""total_plays"":""8"",""gold"":""5000"",""ticket"":""2""}"
FALSE,TRUE,2141_TUTO_STEP_COMPLETE,튜토리얼 개별 스텝 완료 시,"가이드키, content_id, 소요 시간","{""guide_key"":""230004"",""content_id"":""content_shop"",""duration"":""5""}"
FALSE,TRUE,2150_GAMEPLAY_NRU_CARD_MATCH,신규 유저가 첫 번째 카드 매칭을 완료한 경우,"난이도 티어, 시드ID, 맵ID","{""difficulty_tier"":""01"",""seed"":""seedid"",""map_id"":""map_001""}"
FALSE,TRUE,2151_GAMEPLAY_NRU_MATCHES,신규 유저의 첫 번째 판 카드 매칭 횟수,"난이도 티어, 시드ID, 맵ID, 최종 점수, 매칭 횟수","{""difficulty_tier"":""01"",""seed"":""seedid"",""map_id"":""map_001"",""score"":""5000"",""match_count"":""15""}"
,,2xxx-1 부스터 사용 로그,,,
FALSE,TRUE,2160_GAMEPLAY_ITEM_UNDO_TRY,Undo 부스터 사용 시도 시 (버튼),"난이도 티어, 시드ID, 타입, 사용 횟수, 가격","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid"",""use_count"":""1"",""price"":""600""}"
FALSE,TRUE,2161_GAMEPLAY_ITEM_UNDO_SUCCESS,Undo 부스터 사용 성공 시,"난이도 티어, 시드ID, 타입, 사용 횟수","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid"",""use_count"":""1""}"
FALSE,TRUE,2162_GAMEPLAY_ITEM_UNDO_FAIL,Undo 부스터 사용 실패 시,"난이도 티어, 시드ID, error_code, error_message, 타입","{""difficulty_tier"":""02"",""seed"":""seedid"",""error_code"":""code"",""error_message"":""message"",""type"":""paid""}"
FALSE,TRUE,2163_GAMEPLAY_ITEM_UNDO_UNLOCK,Undo 부스터 해금 화면 노출 시,,
FALSE,TRUE,2170_GAMEPLAY_ITEM_FIREWORKS_TRY,Fireworks 부스터 사용 시도 시 (버튼),"난이도 티어, 시드ID, 타입, 가격","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid"",""price"":""600""}"
FALSE,TRUE,2171_GAMEPLAY_ITEM_FIREWORKS_SUCCESS,Fireworks 부스터 사용 성공 시,"난이도 티어, 시드ID, 타입, 제거 카드 수","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid"",""removed_cards"":""3""}"
FALSE,TRUE,2172_GAMEPLAY_ITEM_FIREWORKS_FAIL,Fireworks 부스터 사용 실패 시,"난이도 티어, 시드ID, error_code, error_message, 타입","{""difficulty_tier"":""02"",""seed"":""seedid"",""error_code"":""code"",""error_message"":""message"",""type"":""paid""}"
FALSE,TRUE,2173_GAMEPLAY_ITEM_FIREWORKS_UNLOCK,Fireworks 부스터 해금 화면 노출 시,,
FALSE,TRUE,2180_GAMEPLAY_ITEM_WILDCARD_TRY,Wild Card 부스터 사용 시도 시 (버튼),"난이도 티어, 시드ID, 타입, 가격","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid"",""price"":""500""}"
FALSE,TRUE,2181_GAMEPLAY_ITEM_WILDCARD_SUCCESS,Wild Card 부스터 사용 성공 시,"난이도 티어, 시드ID, 타입","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid""}"
FALSE,TRUE,2182_GAMEPLAY_ITEM_WILDCARD_FAIL,Wild Card 부스터 사용 실패 시,"난이도 티어, 시드ID, error_code, error_message, 타입","{""difficulty_tier"":""02"",""seed"":""seedid"",""error_code"":""code"",""error_message"":""message"",""type"":""paid""}"
FALSE,TRUE,2183_GAMEPLAY_ITEM_WILDCARD_UNLOCK,Wild Card 부스터 해금 화면 노출 시,,
FALSE,TRUE,2190_GAMEPLAY_ITEM_EXTRADECK_TRY,Extra Deck 부스터 사용 시도 시 (버튼),"난이도 티어, 시드ID, 타입, 사용 횟수, 가격","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid"",""use_count"":""1"",""price"":""1000""}"
FALSE,TRUE,2191_GAMEPLAY_ITEM_EXTRADECK_SUCCESS,Extra Deck 부스터 사용 성공 시,"난이도 티어, 시드ID, 타입, 추가 카드 수","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid"",""extra_cards"":""5""}"
FALSE,TRUE,2192_GAMEPLAY_ITEM_EXTRADECK_FAIL,Extra Deck 부스터 사용 실패 시,"난이도 티어, 시드ID, error_code, error_message, 타입","{""difficulty_tier"":""02"",""seed"":""seedid"",""error_code"":""code"",""error_message"":""message"",""type"":""paid""}"
FALSE,TRUE,2193_GAMEPLAY_ITEM_EXTRADECK_UNLOCK,Extra Deck 부스터 해금 화면 노출 시,,
FALSE,TRUE,2195_GAMEPLAY_ITEM_GOLDENTICKET_TRY,Golden Ticket 부스터 사용 시도 시,"난이도 티어, 시드ID, 타입, 가격","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid"",""price"":""800""}"
FALSE,TRUE,2196_GAMEPLAY_ITEM_GOLDENTICKET_SUCCESS,Golden Ticket 부스터 사용 성공 시,"난이도 티어, 시드ID, 타입","{""difficulty_tier"":""02"",""seed"":""seedid"",""type"":""paid""}"
FALSE,TRUE,2197_GAMEPLAY_ITEM_GOLDENTICKET_FAIL,Golden Ticket 부스터 사용 실패 시,"난이도 티어, 시드ID, error_code, error_message, 타입","{""difficulty_tier"":""02"",""seed"":""seedid"",""error_code"":""code"",""error_message"":""message"",""type"":""paid""}"
FALSE,TRUE,2198_GAMEPLAY_ITEM_INFINITE_USE,무한 부스터 아이템 사용 시,"난이도 티어, 시드ID, 부스터 타입, 잔여 시간(초)","{""difficulty_tier"":""02"",""seed"":""seedid"",""booster_type"":""undo"",""remaining_sec"":""600""}"
FALSE,TRUE,2199_GAMEPLAY_FREE_BOOSTER_USE,튜토리얼 무료 부스터 사용 시,"난이도 티어, 시드ID, 부스터 타입, 잔여 무료 수량","{""difficulty_tier"":""01"",""seed"":""seedid"",""booster_type"":""wild_card"",""free_remaining"":""2""}"
,,2xxx-2 스트릭 & 콤보 보상 로그,,,
FALSE,TRUE,2210_GAMEPLAY_COMBO_REWARD,콤보 보상 획득 시,"난이도 티어, 시드ID, 콤보 카운트, 콤보 골드","{""difficulty_tier"":""02"",""seed"":""seedid"",""combo_count"":""5"",""combo_gold"":""20""}"
FALSE,TRUE,2211_GAMEPLAY_STREAK_METER_FILL,스트릭 미터 목표 달성 시,"난이도 티어, 시드ID, 보상 골드","{""difficulty_tier"":""02"",""seed"":""seedid"",""reward_gold"":""100""}"
FALSE,TRUE,2212_GAMEPLAY_STREAK_STAR_EARN,스트릭 스타 획득 시,"난이도 티어, 시드ID, 스타 수량","{""difficulty_tier"":""02"",""seed"":""seedid"",""star_count"":""3""}"
FALSE,TRUE,2213_GAMEPLAY_DECK_BONUS,덱 보너스 획득 시 (클리어 후 잔여 카드),"난이도 티어, 시드ID, 잔여 카드 수, 보너스 골드","{""difficulty_tier"":""02"",""seed"":""seedid"",""remaining_cards"":""3"",""bonus_gold"":""150""}"
,,2xxx-3 인게임 설정 & 나가기 로그,,,
FALSE,TRUE,2251_GAMEPLAY_SETTING_LEAVE,플레이 화면에서의 설정 팝업에서 나가기 시,"난이도 티어, 시드ID, 최종 점수, 매칭 횟수","{""difficulty_tier"":""02"",""seed"":""seedid"",""score"":""5000"",""match_count"":""15""}"
FALSE,TRUE,2260_GAMEPLAY_END_SURE,나가기 확인 팝업 노출 시,"난이도 티어, 시드ID","{""difficulty_tier"":""02"",""seed"":""seedid""}"
FALSE,TRUE,2261_GAMEPLAY_END_SURE_NO,"나가기 확인 팝업에서 닫기 버튼(X,Continue) 선택 시","난이도 티어, 시드ID","{""difficulty_tier"":""02"",""seed"":""seedid""}"
FALSE,TRUE,2262_GAMEPLAY_END_SURE_YES,나가기 확인 팝업에서 나가기 선택 시,"난이도 티어, 시드ID","{""difficulty_tier"":""02"",""seed"":""seedid""}"
,,2xxx-3a 인게임 골드 충전,,,
FALSE,TRUE,2270_INGAME_GOLD_CHARGE_POPUP,인게임 골드 부족 시 충전 팝업 노출 시,"보유 골드, 필요 골드","{""gold_balance"":""500"",""required"":""2000""}"
FALSE,TRUE,2271_INGAME_GOLD_CHARGE_TRY,인게임 골드 충전 시도 시 (RV/IAP),"충전 방식, 충전량","{""charge_type"":""rv"",""charge_amount"":""2000""}"
FALSE,TRUE,2272_INGAME_GOLD_CHARGE_CLOSE,인게임 골드 충전 팝업 닫기 시,,
,,2xxx-4 게임 종료 & 결과 로그,,,
FALSE,TRUE,2300_GAMEPLAY_FINISH,각 판이 종료되었을 때,"난이도 티어, 시드ID, 맵ID, 결과, 플레이 타임, 최종 점수, 매칭 횟수, 베팅 배수, 콤보 최대치, 부스터 사용 횟수","{""difficulty_tier"":""02"",""seed"":""seedid"",""map_id"":""map_001"",""result"":""clear"",""play_time"":""120"",""score"":""8000"",""match_count"":""28"",""betting"":""x1"",""max_combo"":""7"",""booster_used"":""2""}"
FALSE,TRUE,2400_FINISH_RESULT,결과 화면 노출 시,"난이도 티어, 시드ID, 맵ID, 결과, 최종 점수, 콤보 골드 합계, 덱 보너스, 스트릭 보상, 진행중 이벤트 ID, 이벤트 진행 상황","{""difficulty_tier"":""02"",""seed"":""seedid"",""map_id"":""map_001"",""result"":""clear"",""score"":""8000"",""combo_gold_total"":""200"",""deck_bonus"":""150"",""streak_reward"":""100"",""event_ongoing"":""90001"",""event_progress"":""3""}"
FALSE,TRUE,2410_FINISH_RESULT_CLAIM,결과 화면에서 보상 획득 시,보상 금액,"{""reward_gold"":""500""}"
FALSE,TRUE,2420_FINISH_RESULT_DOUBLE_CLAIM_TRY,결과 화면에서 2배 보상 획득 시도 시 (RV),,
FALSE,TRUE,2421_FINISH_RESULT_DOUBLE_CLAIM_SUCCESS,결과 화면에서 2배 보상 획득 성공 시,보상 금액,"{""reward_gold"":""1000""}"
FALSE,TRUE,2422_FINISH_RESULT_DOUBLE_CLAIM_FAIL,결과 화면에서 2배 보상 획득 실패 시,"error_code, error_message","{""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,2430_FINISH_RESULT_HOME,결과 화면에서 홈 버튼 터치 시,,
,,2xxx-5 베팅 & 엔트리 로그,,,
FALSE,TRUE,2510_ENTRY_COST_PAY,엔트리 비용 지불 시,"지불 타입, 금액, 베팅 배수, 맵ID, 잔여 골드","{""pay_type"":""gold"",""amount"":""2000"",""betting"":""x2"",""map_id"":""map_001"",""gold_remaining"":""6000""}"
FALSE,TRUE,2511_ENTRY_COST_PAY_TICKET,엔트리 비용 티켓 지불 시,"티켓 수량, 맵ID, 잔여 티켓","{""ticket_used"":""1"",""map_id"":""map_001"",""ticket_remaining"":""3""}"
FALSE,TRUE,2512_ENTRY_COST_FREE,무료 엔트리 (튜토리얼 Lv1-2),"맵ID, 레벨","{""map_id"":""map_001"",""level"":""1""}"
,,2xxx-6 기믹 관련 로그,,,
FALSE,TRUE,2600_GIMMICK_FIRST_APPEAR,기믹 최초 등장 시,"기믹 타입, 맵ID, 레벨","{""gimmick_type"":""plus_card"",""map_id"":""map_001"",""level"":""4""}"
FALSE,TRUE,2601_GIMMICK_GUIDE_SHOWN,기믹 가이드 노출 시,"기믹 타입, 가이드 타입(focus/floating)","{""gimmick_type"":""runner"",""guide_type"":""focus""}"
FALSE,TRUE,2610_GIMMICK_PLUS_CARD_MATCH,플러스 카드 매칭 시,"난이도 티어, 시드ID","{""difficulty_tier"":""02"",""seed"":""seedid""}"
FALSE,TRUE,2620_GIMMICK_RUNNER_MOVE,러너 카드 이동 발생 시,"난이도 티어, 시드ID, 이동 방향","{""difficulty_tier"":""02"",""seed"":""seedid"",""direction"":""left""}"
FALSE,TRUE,2630_GIMMICK_LOCK_KEY_UNLOCK,락-키 해제 시,"난이도 티어, 시드ID, 해제 카드 수","{""difficulty_tier"":""02"",""seed"":""seedid"",""unlocked_cards"":""2""}"
FALSE,TRUE,2640_GIMMICK_ROPE_BREAK,로프(아이스) 카드 해제 시,"난이도 티어, 시드ID","{""difficulty_tier"":""02"",""seed"":""seedid""}"
,,3xxx 소셜 API 호출 관련 로그,,,
FALSE,TRUE,3000_SWITCH_CONTEXT_START,컨텍스트 전환 시도,컨텍스트 전환 대상 (친구),"{""type"":""friend""}"
FALSE,TRUE,3010_SWITCH_CONTEXT_SUCCESS,컨텍스트 전환 성공,컨텍스트 전환 대상 (친구),"{""type"":""friend""}"
FALSE,TRUE,3020_SWITCH_CONTEXT_FAIL,컨텍스트 전환 실패,"컨텍스트 전환 대상 (친구), error_code, error_message","{""type"":""friend"",""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,3400_MSG_P2P,메세지 발송 시도 (1번째 시도),"발송 위치, 이미지 ID, 발송 시 텍스트 키값","{""position"":""invite"",""image_id"":""3"",""text"":""T_DAILY_SHARE_A_1""}"
FALSE,TRUE,3410_MSG_P2P_SUCCESS,메세지 발송 성공,"발송 위치, 이미지 ID, 발송 시 텍스트 키값, 난이도 티어, 시드ID","{""position"":""invite"",""image_id"":""3"",""text"":""T_DAILY_SHARE_A_1"",""difficulty_tier"":""02"",""seed"":""seedid""}"
FALSE,TRUE,3420_MSG_P2P_FAIL,메세지 발송 실패,"발송 위치, 이미지 ID, error_code, error_message","{""position"":""invite"",""image_id"":""3"",""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,3430_MSG_P2P_RETRY,메세지 재발송 시도 시(2~4번째 시도),"발송 위치, 이미지 ID, 발송 시 텍스트 키값","{""position"":""invite"",""image_id"":""3"",""text"":""T_DAILY_SHARE_A_1""}"
FALSE,TRUE,3440_MSG_P2P_RETRY_SUCCESS,메세지 재발송 시도 성공,"발송 위치, 이미지 ID, 발송 시 텍스트 키값, 난이도 티어, 시드ID","{""position"":""invite"",""image_id"":""3"",""text"":""T_DAILY_SHARE_A_1"",""difficulty_tier"":""02"",""seed"":""seedid""}"
FALSE,TRUE,3450_MSG_P2P_RETRY_FAIL,메세지 재발송 시도 실패,"발송 위치, 이미지 ID, error_code, error_message","{""position"":""invite"",""image_id"":""3"",""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,3500_FEED_SHARE,피드공유 시도,"공유 위치, 이미지 ID, 공유 시 텍스트 키값","{""position"":""profile"",""image_id"":""3"",""text"":""T_DAILY_SHARE_A_1""}"
FALSE,TRUE,3510_FEED_SHARE_SUCCESS,피드공유 성공,"공유 위치, 이미지 ID, 공유 시 텍스트 키값","{""position"":""profile"",""image_id"":""3"",""text"":""T_DAILY_SHARE_A_1""}"
FALSE,TRUE,3520_FEED_SHARE_FAIL,피드공유 실패,"공유 위치, 이미지 ID, error_code, error_message","{""position"":""profile"",""image_id"":""3"",""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,3600_SCREENSHOT_SHARE,스크린샷 버튼 터치,씬/팝업 이름,"{""position"":""sceneName""}"
FALSE,TRUE,3610_SCREENSHOT_SHARE_SUCCESS,스크린샷 공유 성공,씬/팝업 이름,"{""position"":""sceneName""}"
FALSE,TRUE,3620_SCREENSHOT_SHARE_FAIL,스크린샷 공유 실패 (유저 인풋 제외),"씬/팝업 이름, error_code, error_message","{""position"":""sceneName"",""error_code"":""code"",""error_message"":""message""}"
,,4xxx 수익화 관련 로그,,,
FALSE,TRUE,4000_INTERSTITIAL_AD_START,인터스티셜 광고 재생 시작,광고 위치,"{""type"":""광고위치""}"
FALSE,TRUE,4010_INTERSTITIAL_AD_FINISH,인터스티셜 광고 재생 완료,광고 위치,"{""type"":""광고위치""}"
FALSE,TRUE,4020_INTERSTITIAL_AD_ERROR,인터스티셜 광고 재생 에러,"광고 위치, error_code, error_message","{""type"":""광고위치"",""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,4080_INTERSTITIAL_AD_PRELOAD_FINISH,인터스티셜 프리로드 성공,,
FALSE,TRUE,4090_INTERSTITIAL_AD_PRELOAD_ERROR,인터스티셜 프리로드 에러,"error_code, error_message","{""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,4200_RV_START,RV 광고 재생 시작,광고 위치,"{""type"":""광고위치""}"
FALSE,TRUE,4210_RV_FINISH,RV 광고 재생 완료,광고 위치,"{""type"":""광고위치""}"
FALSE,TRUE,4220_RV_ERROR,RV 광고 재생 에러,"광고 위치, error_code, error_message","{""type"":""광고위치"",""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,4280_RV_PRELOAD_FINISH,RV 프리로드 성공,,
FALSE,TRUE,4290_RV_PRELOAD_ERROR,RV 프리로드 에러,"error_code, error_message","{""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,4300_BANNER_AD_START,배너 광고 노출 시도,"가능 여부, 직전 배너 후 경과 시간(초)","{""status"":""true"",""interval"":""30""}"
FALSE,TRUE,4310_BANNER_AD_FINISH,배너 광고 노출 성공,"직전 배너 후 경과 시간(초)","{""interval"":""30""}"
FALSE,TRUE,4320_BANNER_AD_ERROR,배너 광고 노출 실패,"error_code, error_message, 직전 배너 후 경과 시간(초)","{""error_code"":""code"",""error_message"":""message"",""interval"":""30""}"
,,5xxx 씬 전환 / UI 팝업,,,
FALSE,TRUE,5100_SHOP,상점 화면 노출 시,"위치, 보유 골드","{""position"":""lobby"",""gold_balance"":""5000""}"
FALSE,TRUE,5110_SHOP_PURCHASE_TRY,상점에서 개별 상품 구매 시도 시,"구매 상품 ID, 금액, 위치 (로비/상점), 타입","{""product_id"":""gold_10000"",""price"":""$1.99"",""position"":""lobby"",""type"":""gold_10000""}"
FALSE,TRUE,5111_SHOP_PURCHASE_SUCCESS,상점에서 개별 상품 구매 성공 시,"구매 상품 ID, 금액, 위치 (로비/상점), 타입","{""product_id"":""gold_10000"",""price"":""$1.99"",""position"":""lobby"",""type"":""gold_10000""}"
FALSE,TRUE,5112_SHOP_PURCHASE_FAIL,상점에서 개별 상품 구매 실패 시,"구매 상품 ID, 금액, 위치, 타입, error_code, error_message","{""product_id"":""gold_10000"",""price"":""$1.99"",""position"":""lobby"",""type"":""gold_10000"",""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,5120_BTN_SHOP_CLOSE,상점에서 화면 나가기 버튼 터치 시,,
FALSE,TRUE,5130_SHOP_AD_GOLD_TRY,상점 광고 시청 골드 획득 시도 시,"잔여 광고 횟수, 보상 골드","{""ad_remaining"":""4"",""reward_gold"":""2000""}"
FALSE,TRUE,5131_SHOP_AD_GOLD_SUCCESS,상점 광고 시청 골드 획득 성공 시,"잔여 광고 횟수, 보상 골드","{""ad_remaining"":""3"",""reward_gold"":""2000""}"
FALSE,TRUE,5132_SHOP_AD_GOLD_FAIL,상점 광고 시청 골드 획득 실패 시,"error_code, error_message","{""error_code"":""code"",""error_message"":""message""}"
FALSE,TRUE,5150_DAILY_TASK,데일리 테스크 팝업 노출 시,"위치, 각 테스크의 key number, 타입, 달성도","{""position"":""lobby"",""tasks"":[{""task_key"":""70001"",""type"":""play_level"",""progress"":""1""},{""task_key"":""70002"",""type"":""win_level"",""progress"":""0""}]}"
FALSE,TRUE,5151_DAILY_TASK_GO_TO,데일리 테스크 팝업의 Go! 버튼 터치 시,"key number, 타입, 랜딩 지점","{""task_key"":""70001"",""type"":""play_level"",""landing"":""game""}"
